Cluster_name,Number_of_genes,Genes
1140,1,Bnip5
1141,1,Gm16196
1142,1,Pi16
1143,2,"Abcg1, Tff2"
1144,2,"Pde9a, Gm9902"
1145,1,Col11a2
1146,1,Btnl2
1147,3,"Aif1, Lst1, Tnf"
1148,2,"H2-Q7, H2-Q9"
1149,1,Muc21
1150,1,Ier3
1151,2,"Gm6034, H2-T27"
1152,1,Gm33595
1153,3,"Pgk2, Crisp3, Crisp1"
1154,3,"Gm35456, BE949265, 1600014C23Rik"
1155,1,Vegfa
1156,1,Rsph9
1157,1,Gm29938
1158,1,Plcl2
1159,1,Sult1c1
1160,1,Slc5a7
1161,1,Ebi3
1162,1,Arrdc5
1163,1,Catsperd
1164,2,"Vav1, Adgre1"
1165,1,Gm41607
1166,1,Man2a1
1167,1,Tmem232
1168,1,Gm49870
1169,2,"Togaram2, Clip4"
1170,1,Vit
1171,1,Rmdn2
1172,1,Slc3a1
1173,2,"Gm29418, Gm4718"
1174,1,Gm53967
1175,1,Gm30794
1176,1,Nrxn1
1177,1,Gm53969
1178,1,Adcyap1
1179,1,Mkx
1180,1,Gm34979
1181,3,"Gm41665, Gm6277, Cables1"
1182,1,Mapre2
1183,1,Galnt1
1184,1,Sting1
1185,1,Cd14
1186,1,Fgf1
1187,1,Sh3rf2
1188,1,Dpysl3
1189,1,Mcc
1190,1,Trim36
1191,1,Ccdc112
1192,1,Ticam2
1193,1,Lox
1194,1,Sncaip
1195,1,Snx24
1196,1,Marchf3
1197,2,"Ccdc192, 2210409D07Rik"
1198,1,Gm19519
1199,1,Smim3
1200,4,"Bvht, Carmn, Mir145a, Il17b"
1201,1,Ablim3
1202,1,Sh3tc2
1203,2,"Adrb2, Gm9949"
1204,2,"Prelid3a, Spire1"
1205,2,"Gm31960, Gm54025"
1206,1,Kcng2
1207,1,Acy3
1208,2,"Npas4, Tmem151a"
1209,1,Gal3st3
1210,1,Gm57660
1211,1,9830166K06Rik
1212,1,Asrgl1
1213,1,Ms4a7
1214,3,"Ms4a6c, Ms4a6b, Ms4a6d"
1215,1,Psat1
1216,1,Prune2
1217,1,Gcnt1
1218,1,Gm45918
1219,1,1110059E24Rik
1220,1,Entrep1
1221,1,Gm52399
1222,1,Insl6
1223,1,Ermp1
1224,2,"Lipm, Ankrd22"
1225,1,Acta2
1226,1,Ifit1bl1
1227,3,"Cyp2c68, Cyp2c40, Cyp2c69"
1228,1,Cyp2c37
1229,2,"Morn4, Pi4k2a"
1230,2,"Pkd2l1, Scd3"
1231,1,Sfxn3
1232,2,"Nfkb2, Psd"
1233,1,Gsto1
1234,1,Gm30541
1235,1,4833407H14Rik
1236,1,Adra2a
1237,1,Ablim1
1238,1,Gm50287
1239,3,"Pnlip, Pnliprp1, Pnliprp2"
1240,2,"Plp2, Magix"
1241,1,Kcnd1
1242,1,Glod5
1243,1,Lancl3
1244,1,Sytl5
1245,1,Tspan7
1246,1,Gm46687
1247,1,Slc9a7
1248,1,Cfp
1249,1,Slc6a14
1250,1,Zcchc12
1251,1,Slc25a43
1252,1,Rhox5
1253,1,Mbnl3
1254,1,Slitrk4
1255,1,Aff2
1256,1,Gm32261
1257,1,G6pdx
1258,1,Pwwp4c
1259,1,Obp1b
1260,1,Mir223hg
1261,1,Efnb1
1262,1,Nalf2
1263,2,"Xist, Jpx"
1264,1,Zdhhc15
1265,1,Magee2
1266,1,Cysltr1
1267,1,Rps6ka6
1268,1,Dach2
1269,1,Tmem35a
1270,1,Il1rapl2
1271,1,Nrk
1272,1,Lhfpl1
1273,1,Pfkfb1
1274,1,Tspyl2
1275,1,Kctd12b
1276,1,Sh3kbp1
1277,1,Tlr8
1278,2,"Erdr1x, Sts"
1279,1,Kdm5d
1280,2,"Eif2s3y, Uty"
1281,1,Ddx3y
1282,1,Gm33272
1283,2,"LOC100038987, LOC108168674"
1284,1,LOC101055672
1285,6,"LOC677525, LOC118568473, LOC118568475, LOC102636478, LOC100041034, LOC100041057"
1286,2,"LOC102638047, LOC102637781"
1287,1,LOC118568476
1288,1,LOC118568479
