Cluster_name,Number_of_genes,Genes
264,4,"Coro2a, Gm54221, Gm54222, Gm31850"
265,1,Tex10
266,1,Gm54227
267,1,Fsd1l
268,1,Gm42289
269,1,Ctnnal1
270,1,Musk
271,1,Lpar1
272,2,"Zkscan16, Ptgr1"
273,2,"Mup4, Mup6"
274,1,Zfp618
275,2,"2310002L09Rik, Frmd3"
276,1,Gm42302
277,1,2310067E19Rik
278,1,Frem1
279,1,Adamtsl1
280,2,"Gm49890, Gm34568"
281,1,Dmrta1
282,1,Gm40206
283,1,Gm19417
284,1,Gm35760
285,1,0610043K17Rik
286,1,Gm52669
287,1,Gm52667
288,1,Dio1
289,1,Gpx7
290,1,Calr4
291,1,Cyp4a10
292,1,Tspan1
293,1,Plk3
294,1,Gm12843
295,1,Slc6a9
296,1,2610528J11Rik
297,1,Csf3r
298,1,Col8a2
299,1,A3galt2
300,1,Gm35634
301,1,Rab42
302,1,Atp5if1
303,1,Nr0b2
304,1,Sh3bgrl3
305,1,Stpg1
306,1,Htr1d
307,3,"C1qb, C1qc, Epha8"
308,1,Gm13003
309,1,Wnt4
310,1,Cela3b
311,1,Rap1gapos
312,1,Cda
313,1,Pla2g2d
314,1,Gm46873
315,1,Gm52685
316,1,Padi3
317,3,"Padi2, Gm34375, Atp13a2"
318,1,Spata21
319,1,Cela2a
320,1,Gm42339
321,1,Lrrc38
322,1,Gm54268
323,1,Slc2a7
324,2,"Perm1, Plekhn1"
325,1,Gm29868
326,1,Steap1
327,1,Sema3d
328,1,Sema3a
329,1,Pclo
330,1,Gm21083
331,2,"Gm31555, Sema3c"
332,1,Reln
333,1,Gm42225
334,1,Hycc1
335,1,Atg9b
336,1,Actr3b
337,1,Gm35223
338,1,Kcnk3
339,1,Mapre3
340,1,Abhd1
341,1,Slc5a1
342,1,Spon2
343,1,Dok7
344,1,Sh3tc1
345,1,Msx1
346,1,Prom1
347,1,Lcorl
348,1,Gm40301
349,2,"Ppargc1a, Gm42614"
350,1,Gm10441
351,1,Rell1
352,1,5830416I19Rik
353,1,Tbc1d1
354,2,"Gm31889, Tlr1"
355,1,Rhoh
356,1,Uchl1
357,1,Cwh43
358,1,Gm52817
359,1,Epha5
360,1,Sult1e1
361,1,Smr2
362,1,Amtn
363,1,Adamts3
364,1,Pf4
365,1,Fras1
366,1,Rasgef1b
367,1,Gpat3
368,1,Arhgap24
369,1,Ptpn13
370,1,D830014E11Rik
371,1,Dipk1a
372,2,"Gm34319, Cplx1"
373,1,Tmed11
374,1,Gm35315
375,1,Sgsm1
376,1,Coro1c
377,2,"1500011B03Rik, 2610524H06Rik"
378,1,Gm13832
379,1,Gm36841
380,1,Ksr2
381,1,Nos1
382,1,Hcar1
383,1,Pitpnm2
384,1,Dnah10
385,1,Glt1d1
386,1,Phkg1
387,1,Gm16599
388,3,"4933404O12Rik, Cldn15, Serpine1"
389,1,Actl6b
390,1,Cyp3a13
391,1,Nxpe5
392,3,"Pdgfa, 6330403L08Rik, Prkar1b"
393,1,Elfn1
394,1,Kif19b
395,1,Nptx2
396,1,Cyp3a41a
397,1,Alox5ap
398,1,Gm36299
399,1,Stard13
400,1,Gm52834
401,1,Tac1
402,1,Gm35246
403,1,Tes
404,1,Cftr
405,1,Cttnbp2
406,1,Ptprz1
407,1,Cadps2
408,1,Tmem229a
409,1,Gpr37
410,1,Impdh1
411,1,Cpa1
412,1,2210408F21Rik
413,1,Mkln1os
414,2,"Gm31486, Gm13846"
415,1,Gm53279
416,1,Gm38785
417,1,Slc35b4
418,2,"Gm13861, Gm38787"
419,1,Slc23a4
420,1,Gm33046
421,1,Fam180a
422,1,Ptn
423,1,Gm38791
424,1,Trim24
425,1,Svopl
426,1,Klrg2
427,1,4930502C15Rik
428,1,Mgam
429,1,Prss2
430,1,Sval2
431,1,Fam131b
432,1,Gm34752
433,1,Pdia4
434,1,Gm7932
435,1,Gm32479
436,1,Nfe2l3
437,1,Creb5
438,1,Wipf3
439,1,Gm34753
440,1,Ppm1k
441,1,Snca
442,1,Tnip3
443,1,Gadd45a
444,1,Tacstd2
445,1,Igkv17-127
446,1,Igkv1-117
447,2,"Igkv14-111, Igkv1-110"
448,1,Igkv4-86
449,1,Thnsl2
450,1,Reep1
451,1,St3gal5
452,1,Gm31249
453,5,"Reg3d, Reg3a, Reg2, Reg1, Reg3g"
454,1,2310069B03Rik
455,1,Actg2
456,1,Nat8
457,1,Gfpt1
458,1,Prokr1
459,1,Efcc1
460,1,Mgll
461,4,"BC048671, Chst13, Zxdc, Cfap100"
462,1,Slc41a3
463,1,Lsm3
464,1,Grip2
465,1,Lmod3
466,1,Gm38865
467,1,Lmcd1
468,1,Hrh1
469,1,Mkrn2os
470,1,Tmem40
471,1,Alox5
472,1,Cacna1c
473,1,Gm53339
474,1,Atp6v1e1
475,1,Tuba8
476,1,Mfap5
477,1,Slc2a3
478,1,Clec4a1
479,2,"Clec4b1, Clec4a2"
480,1,Clec4n
481,1,Cd163
482,1,Cracr2a
483,2,"Tspan11, Gm38903"
484,1,Tead4
485,1,Clec2h
486,1,Clec2g
487,1,Clec12a
488,1,Styk1
489,2,"Prp2, A630073D07Rik"
490,1,5530400C23Rik
491,1,Gm5885
492,2,"Gm46987, Gm5886"
493,2,"4933406J09Rik, Bcl2l14"
494,1,Gm57779
495,1,Emp1
496,1,Gucy2c
497,1,Mgp
498,1,Rerg
499,1,Slc15a5
500,2,"Lmo3, A830011K09Rik"
501,1,Pik3c2g
502,1,Slco1a6
503,1,Gm53313
504,1,Abcc9
505,1,Sox5
506,1,Gm52485
507,1,Irag2
508,1,Amn1
509,1,Gm38930
510,1,Pirb
511,2,"Brsk1, Il11"
512,1,Peg3
513,1,C5ar1
514,1,Gm32772
515,1,Cxcl17
516,2,"Gm51461, Cyp2b10"
517,1,Cyp2b9
518,1,Cyp2a4
519,1,Fcgbp
520,1,Sycn
521,1,Ppp1r14a
522,3,"Lrfn3, Tyrobp, Aplp1"
523,1,Atp4a
524,1,Hamp2
525,3,"Gm53358, Hpn, Scn1b"
526,1,Chst8
527,1,Lrp3
528,1,Gm51476
529,1,Dpy19l3
530,22,"Klk15, Klk1b7-ps, Klk1b8, Klk1b1, Klk1b9, Klk1b11, Klk1b21, Klk1b26, Klk1b27, Klk1b22, Klk1b16, Klk1b24, Klk1b3, Klk1b4, Klk1b5, Klk1, 1700028J19Rik, 2410002F23Rik, Snord88c, Snord88a, Gm23991, Gm15517"
531,1,5430431A17Rik
532,1,Kcnc3
533,2,"Dbp, Fam83e"
534,1,Ush1c
535,1,Gm51448
536,1,Nell1
537,1,Gas2
538,1,Synm
539,1,Gm29683
540,1,Mctp2
541,1,Gm39035
542,1,Fam174b
543,1,Slco3a1
544,1,Isg20
545,1,Mfge8
546,1,Mesp1
547,1,Cpeb1
548,1,Homer2
549,1,Folh1
550,1,Nox4
551,1,Prss23
552,2,"Me3, Gm53381"
553,1,Tenm4
554,1,Pak1
555,1,Omp
556,2,"Dgat2, Mogat2"
557,1,Klhl35
558,1,Tpbgl
559,2,"Xrra1, Gm38405"
560,1,Chrdl2
561,2,"Gm51452, Kcne3"
562,1,Pde2a
563,1,Trim5
564,1,Gvin-ps1
565,1,Stk33
566,2,"1700095J03Rik, Trim66"
567,1,Lyve1
568,1,Galnt18
569,1,Dkk3
570,1,Gm45998
571,1,Gm44867
572,2,"Nucb2, 4732496C06Rik"
573,1,Gp2
574,1,Acsm1
575,1,Acsm3
576,1,Igsf6
577,1,Scnn1b
578,1,Chp2
579,1,Katnip
580,1,Gsg1l
581,1,Apobr
582,1,Zg16
583,2,"Gm51458, Gm39090"
584,1,Fgfr2
585,1,Cuzd1
586,1,D7Ertd443e
587,1,Insyn2a
588,1,Gm36356
589,1,Lrrc27
590,1,Kndc1
591,1,Scart1
592,2,"Urah, Cox8b"
593,1,Ifitm6
594,1,Cdhr5
595,1,Cend1
596,1,Muc2
597,1,Ctsd
598,1,H19
599,1,Kcnq1ot1
600,2,"Cdkn1c, Phlda2"
601,1,Tnfrsf23
602,1,Mrgpre
603,2,"Cd209b, Cd209c"
604,2,"Cd209f, Cd209g"
605,1,Kbtbd11
606,1,Defa24
607,1,Pdgfrl
608,1,Stox2
609,1,Gm39171
610,1,Dctd
