Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM
ENSG00000223972.5,,,,,,,,0.010458106870229
ENSG00000227232.5,,,,,,,,1.92145013358779
ENSG00000278267.1,,,,,,,,0.00338171755725191
ENSG00000243485.5,,,,,,,,0.0237603435114504
ENSG00000237613.2,,,,,,,,0.00871440076335878
ENSG00000268020.3,,,,,,,,0.0543719351145038
ENSG00000240361.2,,,,,,,,0.0684046526717557
ENSG00000186092.7,,,,,,,,0.0847243816793893
ENSG00000238009.6,,,,,,,,0.038915786259542
ENSG00000233750.3,,,,,,,,0.0328440687022901
ENSG00000268903.1,,,,,,,,4.80417849618321
ENSG00000269981.1,,,,,,,,6.61963633969466
ENSG00000239906.1,,,,,,,,0.0149095038167939
ENSG00000241860.7,,,,,,,,0.0624993625954199
ENSG00000222623.1,,,,,,,,0.00141424809160305
ENSG00000241599.1,,,,,,,,0.0041055534351145
ENSG00000279928.2,,,,,,,,0.0967861259541985
ENSG00000279457.4,,,,,,,,3.48535656870229
ENSG00000273874.1,,,,,,,,0.00142266030534351
ENSG00000228463.10,,,,,,,,0.109581122137405
ENSG00000286448.1,,,,,,,,0.0834702099236641
ENSG00000236679.2,,,,,,,,0.0321727290076336
ENSG00000236601.2,,,,,,,,0.0316483854961832
ENSG00000237094.12,,,,,,,,0.182598908396947
ENSG00000269732.1,,,,,,,,0.108773160305344
ENSG00000284733.2,,,,,,,,0.0676872824427481
ENSG00000233653.3,,,,,,,,0.00969138549618321
ENSG00000250575.1,,,,,,,,0.0249670190839695
ENSG00000278757.1,,,,,,,,0
ENSG00000230021.10,,,,,,,,0.0893473435114504
ENSG00000235146.2,,,,,,,,0.00465642748091603
ENSG00000225972.1,,,,,,,,209.122462671756
ENSG00000225630.1,,,,,,,,876.512210038168
ENSG00000237973.1,,,,,,,,243.923388435115
ENSG00000229344.1,,,,,,,,33.5186158396947
ENSG00000240409.1,,,,,,,,26.1150140076336
ENSG00000248527.1,,,,,,,,5649.55216793893
ENSG00000198744.5,,,,,,,,57.3896130534351
ENSG00000268663.1,,,,,,,,0.0830048625954199
ENSG00000284662.2,,,,,,,,0.0470080992366412
ENSG00000229376.3,,,,,,,,0.19495463740458
ENSG00000228327.4,,,,,,,,1.27985084732824
ENSG00000223181.1,,,,,,,,0.0330549122137405
