Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM
ENSG00000223972.5,,,,,,,,0.00372717403314917
ENSG00000227232.5,,,,,,,,2.04081005524862
ENSG00000278267.1,,,,,,,,0.00495669337016575
ENSG00000243485.5,,,,,,,,0.00693186740331492
ENSG00000237613.2,,,,,,,,0.00371114640883978
ENSG00000268020.3,,,,,,,,0.0167783425414365
ENSG00000240361.2,,,,,,,,0.0212085193370166
ENSG00000186092.7,,,,,,,,0.0260360386740332
ENSG00000238009.6,,,,,,,,0.0399696077348066
ENSG00000233750.3,,,,,,,,0.0407599917127072
ENSG00000268903.1,,,,,,,,4.94006667403315
ENSG00000269981.1,,,,,,,,8.76180709392265
ENSG00000239906.1,,,,,,,,0.0137652044198895
ENSG00000241860.7,,,,,,,,0.0954030165745856
ENSG00000222623.1,,,,,,,,0.00368999447513812
ENSG00000241599.1,,,,,,,,0.00205783701657459
ENSG00000279928.2,,,,,,,,0.0628110883977901
ENSG00000279457.4,,,,,,,,3.53040045027624
ENSG00000273874.1,,,,,,,,0.00542895580110497
ENSG00000228463.10,,,,,,,,0.108676502762431
ENSG00000286448.1,,,,,,,,0.640908102209945
ENSG00000236679.2,,,,,,,,0.0365072651933702
ENSG00000236601.2,,,,,,,,0.0135831298342541
ENSG00000237094.12,,,,,,,,0.281274878453039
ENSG00000269732.1,,,,,,,,0.0355378314917127
ENSG00000284733.2,,,,,,,,0.0227672569060774
ENSG00000233653.3,,,,,,,,0.00584903314917127
ENSG00000250575.1,,,,,,,,0.0283709143646409
ENSG00000278757.1,,,,,,,,0.00751098618784531
ENSG00000230021.10,,,,,,,,0.0782333950276243
ENSG00000235146.2,,,,,,,,0.00609788397790055
ENSG00000225972.1,,,,,,,,142.973380461326
ENSG00000225630.1,,,,,,,,385.924199226519
ENSG00000237973.1,,,,,,,,58.386509281768
ENSG00000229344.1,,,,,,,,11.0468240524862
ENSG00000240409.1,,,,,,,,7.37224393646409
ENSG00000248527.1,,,,,,,,1459.60555966851
ENSG00000198744.5,,,,,,,,20.1825001933702
ENSG00000268663.1,,,,,,,,0.0203020635359116
ENSG00000284662.2,,,,,,,,0.0179091740331492
ENSG00000229376.3,,,,,,,,0.103074837016575
ENSG00000228327.4,,,,,,,,1.18890399171271
ENSG00000223181.1,,,,,,,,0.0166305635359116
ENSG00000229905.1,,,,,,,,0.0221719944751381
ENSG00000237491.10,,,,,,,,0.265783259668508
ENSG00000230092.7,,,,,,,,0.382113093922652
ENSG00000177757.2,,,,,,,,0.1832365
ENSG00000228794.11,,,,,,,,1.56508980662983
ENSG00000225880.5,,,,,,,,1.42447398895028
ENSG00000288531.1,,,,,,,,0.0582761712707182
ENSG00000230368.2,,,,,,,,0.0419148314917127
ENSG00000234711.1,,,,,,,,0.0651517403314917
ENSG00000283040.1,,,,,,,,0.0281640939226519
ENSG00000272438.1,,,,,,,,0.0712073425414365
ENSG00000230699.2,,,,,,,,0.0691605110497238
ENSG00000241180.1,,,,,,,,0.00492760773480663
ENSG00000223764.2,,,,,,,,0.514588756906077
ENSG00000187634.13,,,,,,,,1.01259939226519
ENSG00000188976.11,,,,,,,,30.8876134530387
ENSG00000187961.15,,,,,,,,5.44531527624309
ENSG00000187583.11,,,,,,,,0.988033596685083
ENSG00000187642.9,,,,,,,,0.0728051049723757
ENSG00000272512.1,,,,,,,,3.28102452209945
ENSG00000188290.11,,,,,,,,9.53624928176796
ENSG00000187608.10,,,,,,,,7.82598779005525
ENSG00000231702.2,,,,,,,,0.0972775386740332
ENSG00000224969.1,,,,,,,,0.112830781767956
ENSG00000188157.15,,,,,,,,27.4974290883978
ENSG00000217801.11,,,,,,,,1.29717775138122
ENSG00000273443.1,,,,,,,,0.290733129834254
ENSG00000237330.3,,,,,,,,0.133473522099448
ENSG00000131591.18,,,,,,,,3.12043523480663
ENSG00000285812.1,,,,,,,,0.0939579005524862
ENSG00000223823.1,,,,,,,,0.380017279005525
ENSG00000207730.3,,,,,,,,0.578544392265193
ENSG00000207607.3,,,,,,,,0.383785077348066
ENSG00000198976.1,,,,,,,,1.00615341436464
ENSG00000272141.1,,,,,,,,17.713988480663
ENSG00000205231.1,,,,,,,,0.133816795580111
ENSG00000162571.14,,,,,,,,0.211927975138122
ENSG00000186891.14,,,,,,,,0.231056229281768
ENSG00000186827.11,,,,,,,,1.12381167127072
ENSG00000078808.19,,,,,,,,67.3359604972376
ENSG00000176022.7,,,,,,,,8.65776549723757
ENSG00000184163.3,,,,,,,,0.517298787292818
ENSG00000260179.1,,,,,,,,0.213754436464088
ENSG00000160087.21,,,,,,,,11.8787063535912
ENSG00000230415.1,,,,,,,,1.55416770718232
