Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,"p value, -log10",Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Female / Male,P11352,P11352,-0.778895662,0.778895662,0.038881671,1.41,0.045812241,20,P11352,Gpx1,Glutathione peroxidase 1,GPX1_MOUSE,10,-41.71872526,0.582812747,Female,Male,NaN,NaN,NaN
Female / Male,P61809,P61809,-0.77526314,0.77526314,0.003138429,2.5,0.011825964,20,P61809,Cdk5r1,Cyclin-dependent kinase 5 activator 1,CD5R1_MOUSE,1,-41.57179555,0.584282044,Female,Male,NaN,NaN,NaN
Female / Male,P00683,P00683,-0.77342816,0.77342816,0.012401557,1.91,0.02577421,20,P00683,Rnase1,Ribonuclease pancreatic,RNAS1_MOUSE,2,-41.49743277,0.585025672,Female,Male,NaN,NaN,NaN
Female / Male,P29758,P29758,-0.771741882,0.771741882,0.019699894,1.71,0.033044984,20,P29758,Oat,"Ornithine aminotransferase, mitochondrial",OAT_MOUSE,3,-41.42901271,0.585709873,Female,Male,NaN,NaN,NaN
Female / Male,P62843,P62843,-0.768711397,0.768711397,0.032759042,1.48,0.04231798,20,P62843,Rps15,Small ribosomal subunit protein uS19,RS15_MOUSE,1,-41.30585082,0.586941492,Female,Male,NaN,NaN,NaN
Female / Male,Q8VHD8,Q8VHD8,-0.767086506,0.767086506,0.024613738,1.61,0.036829347,20,Q8VHD8,Hrnr,Hornerin,HORN_MOUSE,7,-41.23970702,0.58760293,Female,Male,NaN,NaN,NaN
Female / Male,P01132,P01132,-0.765586858,0.765586858,0.009363487,2.03,0.022334924,20,P01132,Egf,Pro-epidermal growth factor,EGF_MOUSE,34,-41.17859532,0.588214047,Female,Male,NaN,NaN,NaN
Female / Male,Q08761,Q08761,-0.762291028,0.762291028,0.02156905,1.67,0.034545911,20,Q08761,Pros1,Vitamin K-dependent protein S,PROS_MOUSE,2,-41.04406447,0.589559355,Female,Male,NaN,NaN,NaN
Female / Male,Q8CIN4,Q8CIN4,-0.760080546,0.760080546,0.044335943,1.35,0.048666126,20,Q8CIN4,Pak2,Serine/threonine-protein kinase PAK 2,PAK2_MOUSE,1,-40.95366359,0.590463364,Female,Male,NaN,NaN,NaN
Female / Male,Q3UUY6,Q3UUY6,-0.757899193,0.757899193,0.005584099,2.25,0.017148022,20,Q3UUY6,Prom2,Prominin-2,PROM2_MOUSE,9,-40.86431809,0.591356819,Female,Male,NaN,NaN,NaN
Female / Male,Q07235,Q07235,-0.750506361,0.750506361,0.000854347,3.07,0.005247172,20,Q07235,Serpine2,Glia-derived nexin,GDN_MOUSE,12,-40.56051013,0.594394899,Female,Male,NaN,NaN,NaN
Female / Male,Q8VDN2,Q8VDN2,-0.747346675,0.747346675,0.037014868,1.43,0.04511187,20,Q8VDN2,Atp1a1,Sodium/potassium-transporting ATPase subunit alpha-1,AT1A1_MOUSE,7,-40.43018741,0.595698126,Female,Male,NaN,NaN,NaN
Female / Male,Q80XI7,Q80XI7,-0.746375246,0.746375246,0.001841294,2.73,0.008651862,20,Q80XI7,Bpifb9a,Vomeromodulin,VOME_MOUSE,47,-40.390063,0.59609937,Female,Male,NaN,NaN,NaN
Female / Male,Q9JKL5,Q9JKL5,-0.746285127,0.746285127,0.001200156,2.92,0.006282697,20,Q9JKL5,Tesc,Calcineurin B homologous protein 3,CHP3_MOUSE,1,-40.38633931,0.596136607,Female,Male,NaN,NaN,NaN
Female / Male,P62137,P62137,-0.735547771,0.735547771,0.01935817,1.71,0.032811935,20,P62137,Ppp1ca,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,PP1A_MOUSE,3,-39.9410054,0.600589946,Female,Male,NaN,NaN,NaN
Female / Male,P47739,P47739,-0.729326687,0.729326687,0.004166859,2.38,0.014192796,20,P47739,Aldh3a1,"Aldehyde dehydrogenase, dimeric NADP-preferring",AL3A1_MOUSE,15,-39.68146422,0.603185358,Female,Male,NaN,NaN,NaN
Female / Male,Q9Z1Q4,Q9Z1Q4,-0.729184024,0.729184024,0.032607066,1.49,0.042248358,20,Q9Z1Q4,Ly6g6c,Lymphocyte antigen 6 complex locus protein G6c,LY66C_MOUSE,1,-39.67549925,0.603245007,Female,Male,NaN,NaN,NaN
Female / Male,Q8VIB3,Q8VIB3,-0.728954108,0.728954108,0.000203358,3.69,0.001982743,20,Q8VIB3,St3gal6,"Type 2 lactosamine alpha-2,3-sialyltransferase",SIA10_MOUSE,9,-39.66588481,0.603341152,Female,Male,NaN,NaN,NaN
Female / Male,Q6ZWR6,Q6ZWR6,-0.726357325,0.726357325,0.045195983,1.34,0.049235848,20,Q6ZWR6,Syne1,Nesprin-1,SYNE1_MOUSE,2,-39.55718847,0.604428115,Female,Male,NaN,NaN,NaN
Female / Male,O08529,O08529,-0.726296929,0.726296929,0.02326449,1.63,0.036004568,20,O08529,Capn2,Calpain-2 catalytic subunit,CAN2_MOUSE,5,-39.55465806,0.604453419,Female,Male,NaN,NaN,NaN
Female / Male,Q91XA9,Q91XA9,-0.71869892,0.71869892,0.001325981,2.88,0.006748754,20,Q91XA9,Chia,Acidic mammalian chitinase,CHIA_MOUSE,38,-39.23548063,0.607645194,Female,Male,NaN,NaN,NaN
Female / Male,Q9ESD1,Q9ESD1,-0.717513944,0.717513944,0.00395767,2.4,0.013842973,20,Q9ESD1,Prss8,Prostasin,PRSS8_MOUSE,2,-39.18555041,0.608144496,Female,Male,NaN,NaN,NaN
Female / Male,O08807,O08807,-0.709326798,0.709326798,0.00052023,3.28,0.003590968,20,O08807,Prdx4,Peroxiredoxin-4,PRDX4_MOUSE,3,-38.83945354,0.611605465,Female,Male,NaN,NaN,NaN
Female / Male,P63147,P63147,-0.70852982,0.70852982,0.008744225,2.06,0.021721324,20,P63147,Ube2b,Ubiquitin-conjugating enzyme E2 B,UBE2B_MOUSE,1,-38.80565774,0.611943423,Female,Male,NaN,NaN,NaN
Female / Male,O88958,O88958,-0.707514129,0.707514129,0.039181284,1.41,0.045956995,20,O88958,Gnpda1,Glucosamine-6-phosphate isomerase 1,GNPI1_MOUSE,4,-38.76256032,0.612374397,Female,Male,NaN,NaN,NaN
Female / Male,Q8R050,Q8R050,-0.706587093,0.706587093,0.044370489,1.35,0.048666126,20,Q8R050,Gspt1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,ERF3A_MOUSE,1,-38.72319818,0.612768018,Female,Male,NaN,NaN,NaN
Female / Male,P84104,P84104,-0.697710733,0.697710733,0.000259272,3.59,0.002291892,20,P84104,Srsf3,Serine/arginine-rich splicing factor 3,SRSF3_MOUSE,2,-38.34502285,0.616549772,Female,Male,NaN,NaN,NaN
Female / Male,Q8QZR5,Q8QZR5,-0.697432434,0.697432434,0.012877331,1.89,0.026123301,20,Q8QZR5,Gpt,Alanine aminotransferase 1,ALAT1_MOUSE,3,-38.33312834,0.616668717,Female,Male,NaN,NaN,NaN
Female / Male,P97429,P97429,-0.695990926,0.695990926,0.03024473,1.52,0.041264459,20,P97429,Anxa4,Annexin A4,ANXA4_MOUSE,3,-38.27148139,0.617285186,Female,Male,NaN,NaN,NaN
Female / Male,Q64012,Q64012,-0.69473955,0.69473955,0.007047992,2.15,0.019563822,20,Q64012,Raly,RNA-binding protein Raly,RALY_MOUSE,1,-38.2179156,0.617820844,Female,Male,NaN,NaN,NaN
Female / Male,P62960,P62960,-0.693274788,0.693274788,0.00912419,2.04,0.022005265,20,P62960,Ybx1,Y-box-binding protein 1,YBOX1_MOUSE,3,-38.15515668,0.618448433,Female,Male,NaN,NaN,NaN
Female / Male,Q8CHP8,Q8CHP8,-0.69308631,0.69308631,0.023102363,1.64,0.036004568,20,Q8CHP8,Pgp,Glycerol-3-phosphate phosphatase,PGP_MOUSE,5,-38.14707657,0.618529234,Female,Male,NaN,NaN,NaN
Female / Male,Q8K0C9,Q8K0C9,-0.687153604,0.687153604,0.007331003,2.13,0.019786098,20,Q8K0C9,Gmds,"GDP-mannose 4,6 dehydratase",GMDS_MOUSE,1,-37.89219887,0.621078011,Female,Male,NaN,NaN,NaN
Female / Male,Q91V98,Q91V98,-0.686265709,0.686265709,0.002348362,2.63,0.010009411,20,Q91V98,Cd248,Endosialin,CD248_MOUSE,1,-37.8539634,0.621460366,Female,Male,NaN,NaN,NaN
Female / Male,Q78PY7,Q78PY7,-0.666884348,0.666884348,0.045672339,1.34,0.049547182,20,Q78PY7,Snd1,Staphylococcal nuclease domain-containing protein 1,SND1_MOUSE,4,-37.01345196,0.62986548,Female,Male,NaN,NaN,NaN
Female / Male,O88653,O88653,-0.650984551,0.650984551,0.01298494,1.89,0.026238998,20,O88653,Lamtor3,Ragulator complex protein LAMTOR3,LTOR3_MOUSE,1,-36.31544428,0.636845557,Female,Male,NaN,NaN,NaN
Female / Male,G3X8U3,G3X8U3,-0.647848014,0.647848014,0.024156993,1.62,0.036506171,20,G3X8U3,QNG1,Queuosine 5'-phosphate N-glycosylase/hydrolase,QNG1_MOUSE,1,-36.17683821,0.638231618,Female,Male,NaN,NaN,NaN
Female / Male,Q9CQW1,Q9CQW1,-0.645661458,0.645661458,0.008586566,2.07,0.021601062,20,Q9CQW1,Ykt6,Synaptobrevin homolog YKT6,YKT6_MOUSE,3,-36.0800342,0.639199658,Female,Male,NaN,NaN,NaN
Female / Male,O08539,O08539,-0.639325971,0.639325971,0.038580908,1.41,0.045734208,20,O08539,Bin1,Myc box-dependent-interacting protein 1,BIN1_MOUSE,1,-35.79871721,0.642012828,Female,Male,NaN,NaN,NaN
Female / Male,P26231,P26231,-0.633469452,0.633469452,0.041636183,1.38,0.047272241,20,P26231,Ctnna1,Catenin alpha-1,CTNA1_MOUSE,4,-35.53756689,0.644624331,Female,Male,NaN,NaN,NaN
Female / Male,P63094;Q6R0H7,P63094;Q6R0H7,-0.631988469,0.631988469,0.000559613,3.25,0.003762917,20,P63094;Q6R0H7,Gnas,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,GNAS2_MOUSE;GNAS1_MOUSE,2,-35.4713597,0.645286403,Female,Male,NaN,NaN,NaN
Female / Male,Q91XF0,Q91XF0,-0.631347179,0.631347179,0.030433455,1.52,0.041264459,20,Q91XF0,Pnpo,Pyridoxine-5'-phosphate oxidase,PNPO_MOUSE,2,-35.44266984,0.645573302,Female,Male,NaN,NaN,NaN
Female / Male,Q99KK7,Q99KK7,-0.622975502,0.622975502,0.013170747,1.88,0.02642149,20,Q99KK7,Dpp3,Dipeptidyl peptidase 3,DPP3_MOUSE,5,-35.06696728,0.649330327,Female,Male,NaN,NaN,NaN
Female / Male,Q3TA59,Q3TA59,-0.622094382,0.622094382,5.42E-05,4.27,0.0008131,20,Q3TA59,Jmjd8,JmjC domain-containing protein 8,JMJD8_MOUSE,4,-35.02729755,0.649727025,Female,Male,NaN,NaN,NaN
Female / Male,P63001,P63001,-0.6169556,0.6169556,0.000283092,3.55,0.002426499,20,P63001,Rac1,Ras-related C3 botulinum toxin substrate 1,RAC1_MOUSE,3,-34.79545656,0.652045434,Female,Male,NaN,NaN,NaN
Female / Male,Q8C522,Q8C522,-0.616649114,0.616649114,0.03984036,1.4,0.046381314,20,Q8C522,Endod1,Endonuclease domain-containing 1 protein,ENDD1_MOUSE,2,-34.78160305,0.652183969,Female,Male,NaN,NaN,NaN
Female / Male,Q8C1A5,Q8C1A5,-0.611021089,0.611021089,0.024197039,1.62,0.036506171,20,Q8C1A5,Thop1,Thimet oligopeptidase,THOP1_MOUSE,13,-34.52668592,0.654733141,Female,Male,NaN,NaN,NaN
Female / Male,Q9D0R2,Q9D0R2,-0.607746684,0.607746684,0.032877815,1.48,0.04231798,20,Q9D0R2,Tars1,"Threonine--tRNA ligase 1, cytoplasmic",SYTC_MOUSE,4,-34.37791602,0.65622084,Female,Male,NaN,NaN,NaN
Female / Male,P12265,P12265,-0.603535415,0.603535415,0.04356102,1.36,0.048539423,20,P12265,Gusb,Beta-glucuronidase,BGLR_MOUSE,6,-34.18608339,0.658139166,Female,Male,NaN,NaN,NaN
Female / Male,Q9JHR7,Q9JHR7,-0.600255197,0.600255197,0.045596505,1.34,0.049547182,20,Q9JHR7,Ide,Insulin-degrading enzyme,IDE_MOUSE,24,-34.03627376,0.659637262,Female,Male,NaN,NaN,NaN
Female / Male,Q9D379,Q9D379,-0.59667652,0.59667652,0.005366543,2.27,0.016616026,20,Q9D379,Ephx1,Epoxide hydrolase 1,HYEP_MOUSE,1,-33.87244434,0.661275557,Female,Male,NaN,NaN,NaN
Female / Male,P26516,P26516,-0.593716191,0.593716191,0.012797638,1.89,0.026123301,20,P26516,Psmd7,26S proteasome non-ATPase regulatory subunit 7,PSMD7_MOUSE,3,-33.73661502,0.66263385,Female,Male,NaN,NaN,NaN
Female / Male,P68040,P68040,-0.592592124,0.592592124,0.002724838,2.56,0.011012299,20,P68040,Rack1,Small ribosomal subunit protein RACK1,RACK1_MOUSE,5,-33.68496616,0.663150338,Female,Male,NaN,NaN,NaN
Female / Male,Q9QZ25,Q9QZ25,-0.588911665,0.588911665,0.005705893,2.24,0.017317497,20,Q9QZ25,Vnn3,Vascular non-inflammatory molecule 3,VNN3_MOUSE,10,-33.51557392,0.664844261,Female,Male,NaN,NaN,NaN
Female / Male,Q9DB77,Q9DB77,-0.588499166,0.588499166,0.003220681,2.49,0.012019766,20,Q9DB77,Uqcrc2,"Cytochrome b-c1 complex subunit 2, mitochondrial",QCR2_MOUSE,3,-33.4965618,0.665034382,Female,Male,NaN,NaN,NaN
Female / Male,Q921M7,Q921M7,0.588168133,0.588168133,0.034346952,1.46,0.043085441,20,Q921M7,Cyrib,CYFIP-related Rac1 interactor B,CYRIB_MOUSE,8,50.33366678,1.503336668,Female,Male,NaN,NaN,NaN
Female / Male,Q6ZWQ7,Q6ZWQ7,0.589941339,0.589941339,0.013402356,1.87,0.026748365,20,Q6ZWQ7,Spcs3,Signal peptidase complex subunit 3,SPCS3_MOUSE,1,50.51855446,1.505185545,Female,Male,NaN,NaN,NaN
Female / Male,P04925,P04925,0.591185083,0.591185083,0.0263573,1.58,0.038499427,20,P04925,Prnp,Major prion protein,PRIO_MOUSE,1,50.64837206,1.506483721,Female,Male,NaN,NaN,NaN
Female / Male,O08692,O08692,0.592452321,0.592452321,0.011690784,1.93,0.025010629,20,O08692,Ngp,Neutrophilic granule protein,NGP_MOUSE,16,50.78075704,1.50780757,Female,Male,NaN,NaN,NaN
Female / Male,Q6PHU5,Q6PHU5,0.593100498,0.593100498,0.02375968,1.62,0.036267222,20,Q6PHU5,Sort1,Sortilin,SORT_MOUSE,2,50.84851541,1.508485154,Female,Male,NaN,NaN,NaN
Female / Male,Q9CZ42,Q9CZ42,0.599372491,0.599372491,0.000555244,3.26,0.003762917,20,Q9CZ42,Naxd,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,NNRD_MOUSE,9,51.50574394,1.515057439,Female,Male,NaN,NaN,NaN
Female / Male,P30681,P30681,0.609390913,0.609390913,0.000217073,3.66,0.002039963,20,P30681,Hmgb2,High mobility group protein B2,HMGB2_MOUSE,6,52.56149778,1.525614978,Female,Male,NaN,NaN,NaN
Female / Male,P08752,P08752,0.60961066,0.60961066,0.041466661,1.38,0.047217512,20,P08752,Gnai2,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2_MOUSE,4,52.58473732,1.525847373,Female,Male,NaN,NaN,NaN
Female / Male,Q64674,Q64674,0.610359919,0.610359919,0.006437827,2.19,0.018539729,20,Q64674,Srm,Spermidine synthase,SPEE_MOUSE,4,52.66400232,1.526640023,Female,Male,NaN,NaN,NaN
Female / Male,P47753,P47753,0.612632836,0.612632836,0.000382081,3.42,0.002893428,20,P47753,Capza1,F-actin-capping protein subunit alpha-1,CAZA1_MOUSE,4,52.90470876,1.529047088,Female,Male,NaN,NaN,NaN
Female / Male,Q61599,Q61599,0.613994669,0.613994669,0.008737049,2.06,0.021721324,20,Q61599,Arhgdib,Rho GDP-dissociation inhibitor 2,GDIR2_MOUSE,8,53.04911141,1.530491114,Female,Male,NaN,NaN,NaN
Female / Male,Q91VW3,Q91VW3,0.620401325,0.620401325,0.006145233,2.21,0.018225211,20,Q91VW3,Sh3bgrl3,SH3 domain-binding glutamic acid-rich-like protein 3,SH3L3_MOUSE,2,53.73027644,1.537302764,Female,Male,NaN,NaN,NaN
Female / Male,Q8VIJ6,Q8VIJ6,0.623546923,0.623546923,0.036922477,1.43,0.045072517,20,Q8VIJ6,Sfpq,"Splicing factor, proline- and glutamine-rich",SFPQ_MOUSE,4,54.06582989,1.540658299,Female,Male,NaN,NaN,NaN
Female / Male,O70570,O70570,0.626622911,0.626622911,0.000107765,3.97,0.001200815,20,O70570,Pigr,Polymeric immunoglobulin receptor,PIGR_MOUSE,28,54.39466595,1.543946659,Female,Male,NaN,NaN,NaN
Female / Male,P24527,P24527,0.627182704,0.627182704,8.65E-05,4.06,0.001066993,20,P24527,Lta4h,Leukotriene A-4 hydrolase,LKHA4_MOUSE,24,54.45458562,1.544545856,Female,Male,NaN,NaN,NaN
Female / Male,Q99PL5,Q99PL5,0.62869174,0.62869174,0.004948979,2.31,0.015885611,20,Q99PL5,Rrbp1,Ribosome-binding protein 1,RRBP1_MOUSE,15,54.61622715,1.546162271,Female,Male,NaN,NaN,NaN
Female / Male,P12804,P12804,0.639244517,0.639244517,0.010731814,1.97,0.023985143,20,P12804,Fgl2,Fibroleukin,FGL2_MOUSE,2,55.75133364,1.557513336,Female,Male,NaN,NaN,NaN
Female / Male,Q8R059,Q8R059,0.656977588,0.656977588,0.01686109,1.77,0.030945059,20,Q8R059,Gale,UDP-glucose 4-epimerase,GALE_MOUSE,1,57.67758526,1.576775853,Female,Male,NaN,NaN,NaN
Female / Male,Q8R2S8,Q8R2S8,0.658871476,0.658871476,0.017594377,1.75,0.031694258,20,Q8R2S8,Cd177,CD177 antigen,CD177_MOUSE,11,57.8847114,1.578847114,Female,Male,NaN,NaN,NaN
Female / Male,P23591,P23591,0.659886117,0.659886117,0.01343479,1.87,0.026748365,20,P23591,Gfus,GDP-L-fucose synthase,FCL_MOUSE,5,57.99579009,1.579957901,Female,Male,NaN,NaN,NaN
Female / Male,P62313,P62313,0.668325936,0.668325936,0.002168683,2.66,0.009611207,20,P62313,Lsm6,U6 snRNA-associated Sm-like protein LSm6,LSM6_MOUSE,1,58.92278001,1.5892278,Female,Male,NaN,NaN,NaN
Female / Male,A2AGL3,A2AGL3,0.668958228,0.668958228,0.006119393,2.21,0.018218041,20,A2AGL3,Ryr3,Ryanodine receptor 3,RYR3_MOUSE,1,58.99244659,1.589924466,Female,Male,NaN,NaN,NaN
Female / Male,Q3U2V3,Q3U2V3,0.671863733,0.671863733,0.025485207,1.59,0.037506532,20,Q3U2V3,Nudt18,8-oxo-dGDP phosphatase NUDT18,NUD18_MOUSE,1,59.31297094,1.593129709,Female,Male,NaN,NaN,NaN
Female / Male,Q62523,Q62523,0.672686369,0.672686369,0.00146831,2.83,0.007332565,20,Q62523,Zyx,Zyxin,ZYX_MOUSE,6,59.40383837,1.594038384,Female,Male,NaN,NaN,NaN
Female / Male,P55258,P55258,0.672903335,0.672903335,0.042202268,1.37,0.047569031,20,P55258,Rab8a,Ras-related protein Rab-8A,RAB8A_MOUSE,1,59.42781283,1.594278128,Female,Male,NaN,NaN,NaN
Female / Male,P47791,P47791,0.692985184,0.692985184,0.012859766,1.89,0.026123301,20,P47791,Gsr,"Glutathione reductase, mitochondrial",GSHR_MOUSE,4,61.66251353,1.616625135,Female,Male,NaN,NaN,NaN
Female / Male,Q9Z0M9,Q9Z0M9,0.694127368,0.694127368,0.003992077,2.4,0.013900982,20,Q9Z0M9,Il18bp,Interleukin-18-binding protein,I18BP_MOUSE,2,61.79055263,1.617905526,Female,Male,NaN,NaN,NaN
Female / Male,Q6GQT9,Q6GQT9,0.695929743,0.695929743,0.001948418,2.71,0.008992696,20,Q6GQT9,Nomo1,BOS complex subunit NOMO1,NOMO1_MOUSE,3,61.99280568,1.619928057,Female,Male,NaN,NaN,NaN
Female / Male,P35456,P35456,0.697474636,0.697474636,0.001692659,2.77,0.008356167,20,P35456,Plaur,Urokinase plasminogen activator surface receptor,UPAR_MOUSE,1,62.16636669,1.621663667,Female,Male,NaN,NaN,NaN
Female / Male,P35276,P35276,0.697759594,0.697759594,0.019694533,1.71,0.033044984,20,P35276,Rab3d,Ras-related protein Rab-3D,RAB3D_MOUSE,2,62.19840063,1.621984006,Female,Male,NaN,NaN,NaN
Female / Male,P99029,P99029,0.71049569,0.71049569,1.72E-09,8.77,2.23E-07,20,P99029,Prdx5,"Peroxiredoxin-5, mitochondrial",PRDX5_MOUSE,10,63.63662537,1.636366254,Female,Male,NaN,NaN,NaN
Female / Male,Q8K135,Q8K135,0.716239705,0.716239705,1.64E-05,4.79,0.000342177,20,Q8K135,Kiaa0319l,Dyslexia-associated protein KIAA0319-like protein,K319L_MOUSE,3,64.28943467,1.642894347,Female,Male,NaN,NaN,NaN
Female / Male,O88593,O88593,0.719662901,0.719662901,5.73E-05,4.24,0.0008131,20,O88593,Pglyrp1,Peptidoglycan recognition protein 1,PGRP1_MOUSE,7,64.67972,1.6467972,Female,Male,NaN,NaN,NaN
Female / Male,P41245,P41245,0.736517623,0.736517623,0.005278548,2.28,0.01653521,20,P41245,Mmp9,Matrix metalloproteinase-9,MMP9_MOUSE,17,66.61492304,1.66614923,Female,Male,NaN,NaN,NaN
Female / Male,Q3U0P5,Q3U0P5,0.738269622,0.738269622,0.01030732,1.99,0.023786123,20,Q3U0P5,Entpd6,Ectonucleoside triphosphate diphosphohydrolase 6,ENTP6_MOUSE,2,66.81738194,1.668173819,Female,Male,NaN,NaN,NaN
Female / Male,Q00493,Q00493,0.742164646,0.742164646,1.01E-08,8,1.13E-06,20,Q00493,Cpe,Carboxypeptidase E,CBPE_MOUSE,17,67.2683682,1.672683682,Female,Male,NaN,NaN,NaN
Female / Male,Q9Z0F4,Q9Z0F4,0.759107674,0.759107674,0.043990601,1.36,0.048666126,20,Q9Z0F4,Cib1,Calcium and integrin-binding protein 1,CIB1_MOUSE,2,69.24435027,1.692443503,Female,Male,NaN,NaN,NaN
Female / Male,Q8VC88,Q8VC88,0.759921713,0.759921713,0.002283489,2.64,0.00985252,20,Q8VC88,Gca,Grancalcin,GRAN_MOUSE,1,69.33987311,1.693398731,Female,Male,NaN,NaN,NaN
Female / Male,P05555,P05555,0.763590728,0.763590728,0.001147038,2.94,0.006086325,20,P05555,Itgam,Integrin alpha-M,ITAM_MOUSE,13,69.77108077,1.697710808,Female,Male,NaN,NaN,NaN
Female / Male,Q9D6Y7,Q9D6Y7,0.76729903,0.76729903,0.042127744,1.38,0.047553749,20,Q9D6Y7,Msra,Mitochondrial peptide methionine sulfoxide reductase,MSRA_MOUSE,4,70.20802153,1.702080215,Female,Male,NaN,NaN,NaN
Female / Male,Q8VI36,Q8VI36,0.770884021,0.770884021,0.000312444,3.51,0.002592621,20,Q8VI36,Pxn,Paxillin,PAXI_MOUSE,1,70.6315019,1.706315019,Female,Male,NaN,NaN,NaN
Female / Male,Q91ZI0,Q91ZI0,0.783841732,0.783841732,0.028618852,1.54,0.040362372,20,Q91ZI0,Celsr3,Cadherin EGF LAG seven-pass G-type receptor 3,CELR3_MOUSE,1,72.17094896,1.72170949,Female,Male,NaN,NaN,NaN
Female / Male,P02815,P02815,0.787779098,0.787779098,0.002002377,2.7,0.009063504,20,P02815,Mucl2,Mucin-like protein 2,MUCL2_MOUSE,10,72.64147521,1.726414752,Female,Male,NaN,NaN,NaN
Female / Male,Q9Z183,Q9Z183,0.788374078,0.788374078,1.41E-05,4.85,0.000305773,20,Q9Z183,Padi4,Protein-arginine deiminase type-4,PADI4_MOUSE,5,72.71268874,1.727126887,Female,Male,NaN,NaN,NaN
Female / Male,P57096,P57096,0.790074491,0.790074491,0.000875509,3.06,0.005335135,20,P57096,Psca,Prostate stem cell antigen,PSCA_MOUSE,1,72.91637424,1.729163742,Female,Male,NaN,NaN,NaN
Female / Male,P11672,P11672,0.790191328,0.790191328,6.23E-06,5.21,0.000167658,20,P11672,Lcn2,Neutrophil gelatinase-associated lipocalin,NGAL_MOUSE,7,72.93037853,1.729303785,Female,Male,NaN,NaN,NaN
Female / Male,P70460,P70460,0.802052142,0.802052142,0.000596928,3.22,0.003978829,20,P70460,Vasp,Vasodilator-stimulated phosphoprotein,VASP_MOUSE,5,74.3579494,1.743579494,Female,Male,NaN,NaN,NaN
Female / Male,P47212,P47212,0.806661393,0.806661393,0.021291163,1.67,0.034295113,20,P47212,Gal,Galanin peptides,GALA_MOUSE,1,74.91589464,1.749158946,Female,Male,NaN,NaN,NaN
Female / Male,Q3UHN9,Q3UHN9,0.818532776,0.818532776,0.004754234,2.32,0.015601562,20,Q3UHN9,Ndst1,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1,NDST1_MOUSE,8,76.3611483,1.763611483,Female,Male,NaN,NaN,NaN
Female / Male,Q8VCD3,Q8VCD3,0.818826638,0.818826638,0.01436454,1.84,0.028010853,20,Q8VCD3,Lman1l,Protein ERGIC-53-like,LMA1L_MOUSE,11,76.39707492,1.763970749,Female,Male,NaN,NaN,NaN
Female / Male,P01633,P01633,0.823328118,0.823328118,0.041108447,1.39,0.047090566,20,P01633,Igkv6-17,Immunoglobulin kappa chain variable 6-17,KV5A1_MOUSE,3,76.94832662,1.769483266,Female,Male,NaN,NaN,NaN
Female / Male,Q07797,Q07797,0.82533136,0.82533136,0.000298109,3.53,0.002500271,20,Q07797,Lgals3bp,Galectin-3-binding protein,LG3BP_MOUSE,10,77.19419729,1.771941973,Female,Male,NaN,NaN,NaN
Female / Male,A2A8L5,A2A8L5,0.829727858,0.829727858,0.000186661,3.73,0.001915728,20,A2A8L5,Ptprf,Receptor-type tyrosine-protein phosphatase F,PTPRF_MOUSE,17,77.73500615,1.777350062,Female,Male,NaN,NaN,NaN
Female / Male,P02301;P68433;P84228;P84244,P02301;P68433;P84228;P84244,0.832381711,0.832381711,0.00011824,3.93,0.001298969,20,P02301;P68433;P84228;P84244,H3-5;H3c1;H3c2;H3-3a,Histone H3.3C;Histone H3.1;Histone H3.2;Histone H3.3,H3C_MOUSE;H31_MOUSE;H32_MOUSE;H33_MOUSE,5,78.06225248,1.780622525,Female,Male,NaN,NaN,NaN
Female / Male,O35744,O35744,0.857618813,0.857618813,7.19E-06,5.14,0.000186977,20,O35744,Chil3,Chitinase-like protein 3,CHIL3_MOUSE,22,81.20450369,1.812045037,Female,Male,NaN,NaN,NaN
Female / Male,Q9ERL7,Q9ERL7,0.862254259,0.862254259,0.030611658,1.51,0.04130985,20,Q9ERL7,Gmfg,Glia maturation factor gamma,GMFG_MOUSE,2,81.78765855,1.817876586,Female,Male,NaN,NaN,NaN
Female / Male,Q61805,Q61805,0.866435208,0.866435208,0.000191255,3.72,0.001937393,20,Q61805,Lbp,Lipopolysaccharide-binding protein,LBP_MOUSE,8,82.31524569,1.823152457,Female,Male,NaN,NaN,NaN
Female / Male,Q64436,Q64436,0.86701659,0.86701659,1.12E-05,4.95,0.000256912,20,Q64436,Atp4a,Potassium-transporting ATPase alpha chain 1,ATP4A_MOUSE,1,82.3887305,1.823887305,Female,Male,NaN,NaN,NaN
Female / Male,Q9ERR7,Q9ERR7,0.873626172,0.873626172,0.000200768,3.7,0.001982743,20,Q9ERR7,Selenof,Selenoprotein F,SEP15_MOUSE,5,83.22624553,1.832262455,Female,Male,NaN,NaN,NaN
