Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,"p value, -log10",Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Female / Male,Q8BH73,Q8BH73,-1.118947991,1.118947991,0.011048429,1.96,0.024427344,20,Q8BH73,Qpctl,Glutaminyl-peptide cyclotransferase-like protein,QPCTL_MOUSE,2,-53.95705534,0.460429447,Female,Male,NaN,NaN,NaN
Female / Male,Q8CG72,Q8CG72,-1.111356054,1.111356054,0.023185783,1.63,0.036004568,20,Q8CG72,Adprs,ADP-ribosylhydrolase ARH3,ADPRS_MOUSE,2,-53.71412353,0.462858765,Female,Male,NaN,NaN,NaN
Female / Male,P08228,P08228,-1.110968425,1.110968425,0.022387783,1.65,0.035420833,20,P08228,Sod1,Superoxide dismutase [Cu-Zn],SODC_MOUSE,6,-53.7016856,0.462983144,Female,Male,NaN,NaN,NaN
Female / Male,Q9DBS2,Q9DBS2,-1.110616303,1.110616303,0.003612605,2.44,0.013167439,20,Q9DBS2,Tprg1l,Tumor protein p63-regulated gene 1-like protein,TPRGL_MOUSE,1,-53.69038409,0.463096159,Female,Male,NaN,NaN,NaN
Female / Male,Q8BHG3;Q8VEK0,Q8BHG3;Q8VEK0,-1.10186888,1.10186888,0.033307264,1.48,0.042589616,20,Q8BHG3;Q8VEK0,Tmem30b;Tmem30a,Cell cycle control protein 50B;Cell cycle control protein 50A,CC50B_MOUSE;CC50A_MOUSE,1,-53.40874427,0.465912557,Female,Male,NaN,NaN,NaN
Female / Male,P09671,P09671,-1.095442547,1.095442547,0.027880302,1.55,0.039829003,20,P09671,Sod2,"Superoxide dismutase [Mn], mitochondrial",SODM_MOUSE,1,-53.2007455,0.467992545,Female,Male,NaN,NaN,NaN
Female / Male,P84091,P84091,-1.090369063,1.090369063,0.007651152,2.12,0.020093936,20,P84091,Ap2m1,AP-2 complex subunit mu,AP2M1_MOUSE,2,-53.03587821,0.469641218,Female,Male,NaN,NaN,NaN
Female / Male,P43025,P43025,-1.085051863,1.085051863,0.006655964,2.18,0.018878734,20,P43025,Clec3b,Tetranectin,TETN_MOUSE,1,-52.86246775,0.471375322,Female,Male,NaN,NaN,NaN
Female / Male,Q08857,Q08857,-1.08302761,1.08302761,0.036088906,1.44,0.0443996,20,Q08857,Cd36,Platelet glycoprotein 4,CD36_MOUSE,2,-52.79628242,0.472037176,Female,Male,NaN,NaN,NaN
Female / Male,Q91XM9,Q91XM9,-1.08242076,1.08242076,0.022051117,1.66,0.0351403,20,Q91XM9,Dlg2,Disks large homolog 2,DLG2_MOUSE,1,-52.77642266,0.472235773,Female,Male,NaN,NaN,NaN
Female / Male,Q9R257,Q9R257,-1.082342208,1.082342208,0.038861449,1.41,0.045812241,20,Q9R257,Hebp1,Heme-binding protein 1,HEBP1_MOUSE,1,-52.77385134,0.472261487,Female,Male,NaN,NaN,NaN
Female / Male,Q9CQD1,Q9CQD1,-1.079642787,1.079642787,0.020135196,1.7,0.033415857,20,Q9CQD1,Rab5a,Ras-related protein Rab-5A,RAB5A_MOUSE,1,-52.68540395,0.47314596,Female,Male,NaN,NaN,NaN
Female / Male,O70194,O70194,-1.073425315,1.073425315,0.005009662,2.3,0.016014495,20,O70194,Eif3d,Eukaryotic translation initiation factor 3 subunit D,EIF3D_MOUSE,1,-52.48105588,0.475189441,Female,Male,NaN,NaN,NaN
