ProteinAccessions,gene,PG.ProteinDescriptions,PG.Organisms,iBAQ_mean_male,iBAQ_mean_female,iBAQ_mean_all_1_10
P28666,Mug2,Murinoglobulin-2,Mus musculus,220.93333333333334,132.1,176.51666666666665
P28798,Grn,Progranulin,Mus musculus,91375.69840000001,107586.7204,99481.2094
P28843,Dpp4,Dipeptidyl peptidase 4,Mus musculus,23996.5196,16926.92,20461.7198
P29341,Pabpc1,Polyadenylate-binding protein 1,Mus musculus,1929.0999999999997,1215.22,1572.16
P29351,Ptpn6,Tyrosine-protein phosphatase non-receptor type 6,Mus musculus,1562.02,4742.66,3152.34
P29391,Ftl1,Ferritin light chain 1,Mus musculus,37732.3006,8089.44,22910.870300000002
P29416,Hexa,Beta-hexosaminidase subunit alpha,Mus musculus,69717.9796,94280.31880000001,81999.1492
P29452,Casp1,Caspase-1,Mus musculus,751.0333333333333,756.5749999999999,754.1999999999999
P29595,Nedd8,NEDD8,Mus musculus,28536.5,NA,28536.5
P29621,Serpina3c,Serine protease inhibitor A3C,Mus musculus,4910.4,NA,4910.4
P29699,Ahsg,Alpha-2-HS-glycoprotein,Mus musculus,162670.96240000002,26586.1806,94628.5715
P29758,Oat,"Ornithine aminotransferase, mitochondrial",Mus musculus,786.55,NA,786.55
P29788,Vtn,Vitronectin,Mus musculus,34171.04,7290.34,20730.69
P30115,Gsta3,Glutathione S-transferase A3,Mus musculus,19568.8596,5542.22,12555.5398
P30275,Ckmt1,"Creatine kinase U-type, mitochondrial",Mus musculus,14424.2604,9944.92,12184.5902
P30412,Ppic,Peptidyl-prolyl cis-trans isomerase C,Mus musculus,13741.3796,17113.7202,15427.5499
P30416,Fkbp4,Peptidyl-prolyl cis-trans isomerase FKBP4,Mus musculus,1038.35,202.7,481.24999999999994
P30681,Hmgb2,High mobility group protein B2,Mus musculus,61796.780399999996,94573.3608,78185.0706
P31001,Des,Desmin,Mus musculus,2213.8,2824.82,2519.31
P31532,Saa4,Serum amyloid A-4 protein,Mus musculus,28970.6505,NA,28970.6505
P31725,S100a9,Protein S100-A9,Mus musculus,5892123.975,7186914.2,6539519.0875
P31786,Dbi,Acyl-CoA-binding protein,Mus musculus,36565.74,31742.141,34153.9405
P31809,Ceacam1,Carcinoembryonic antigen-related cell adhesion molecule 1,Mus musculus,4848.9400000000005,4962.22,4905.58
P32037,Slc2a3,"Solute carrier family 2, facilitated glucose transporter member 3",Mus musculus,3396.0800000000004,3084.9,3257.777777777778
P32067,Ssb,Lupus La protein homolog,Mus musculus,1118.075,480.7333333333333,844.9285714285714
P32261,Serpinc1,Antithrombin-III,Mus musculus,98428.8188,26887.2006,62658.0097
P32848,Pvalb,Parvalbumin alpha,Mus musculus,57713.699,NA,57713.699
P32921,Wars1,"Tryptophan--tRNA ligase, cytoplasmic",Mus musculus,2047.25,758.24,1331.1333333333334
P33267,Cyp2f2,Cytochrome P450 2F2,Mus musculus,12707.9,8031.5,10369.7
P33434,Mmp2,72 kDa type IV collagenase,Mus musculus,5523.1,153.75,1943.5333333333333
P33587,Proc,Vitamin K-dependent protein C,Mus musculus,4497.4,1749.8599999999997,2534.8714285714286
P33622,Apoc3,Apolipoprotein C-III,Mus musculus,15268.2,NA,15268.2
P34022,Ranbp1,Ran-specific GTPase-activating protein,Mus musculus,2698,1242.1000000000001,1970.05
P34884,Mif,Macrophage migration inhibitory factor,Mus musculus,8112.499750000001,4623.72,6174.288777777778
P34928,Apoc1,Apolipoprotein C-I,Mus musculus,334487.8,24388.075,127754.65
P35123;Q8R5H1;Q99K46,Usp4;Usp15;Usp11,Ubiquitin carboxyl-terminal hydrolase 4;Ubiquitin carboxyl-terminal hydrolase 15;Ubiquitin carboxyl-terminal hydrolase 11,Mus musculus,439.75,258.825,349.2875
P35175,Stfa1,Stefin-1,Mus musculus,13667.0798,14544.699999999999,14105.8899
P35235,Ptpn11,Tyrosine-protein phosphatase non-receptor type 11,Mus musculus,590.8,173.55,382.175
P35242,Sftpa1,Pulmonary surfactant-associated protein A,Mus musculus,12598.5,4096.575000000001,5796.96
P35276,Rab3d,Ras-related protein Rab-3D,Mus musculus,1521.58,2197.76,1859.67
P35278,Rab5c,Ras-related protein Rab-5C,Mus musculus,25114.5804,15971.9,20543.2402
P35279,Rab6a,Ras-related protein Rab-6A,Mus musculus,2823.6200000000003,2994.65,2899.633333333333
P35282,Rab21,Ras-related protein Rab-21,Mus musculus,1161.56,2322.2999999999997,1741.93
P35285;Q921E2,Rab22a;Rab31,Ras-related protein Rab-22A;Ras-related protein Rab-31,Mus musculus,816.95,897.7,861.8111111111111
P35441,Thbs1,Thrombospondin-1,Mus musculus,38839.1004,16777.2,27808.1502
P35456,Plaur,Urokinase plasminogen activator surface receptor,Mus musculus,1772.22,2878.48,2325.35
P35459,Ly6d,Lymphocyte antigen 6D,Mus musculus,14947.14,17344.459600000002,16145.7998
P35486,Pdha1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",Mus musculus,492.03333333333336,614.75,562.1571428571428
P35492,Hal,Histidine ammonia-lyase,Mus musculus,3016.66,2073,2544.83
P35505,Fah,Fumarylacetoacetase,Mus musculus,456.7666666666667,221.46666666666667,339.1166666666667
P35546,Ret,Proto-oncogene tyrosine-protein kinase receptor Ret,Mus musculus,2067.86,1672,1891.9222222222222
P35564,Canx,Calnexin,Mus musculus,64.9,410.925,341.72
P35700,Prdx1,Peroxiredoxin-1,Mus musculus,213188.6626,111888.9812,162538.82189999998
P35822,Ptprk,Receptor-type tyrosine-protein phosphatase kappa,Mus musculus,295.775,693.84,516.9222222222222
P35846,Folr1,Folate receptor alpha,Mus musculus,25377.1802,28588.9608,26983.070499999998
P35979,Rpl12,Large ribosomal subunit protein uL11,Mus musculus,13644.0998,13003.380000000001,13323.7399
P35980,Rpl18,Large ribosomal subunit protein eL18,Mus musculus,9910.875250000001,8921,9360.944555555556
P36368,Egfbp2,Epidermal growth factor-binding protein type B,Mus musculus,305571.3232,87253.1822,196412.2527
P36369,Klk1b26,Kallikrein 1-related peptidase b26,Mus musculus,5592306.625,2304185.2248,3948245.9249
P36552,Cpox,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",Mus musculus,762.05,527.9,684
P37040,Por,NADPH--cytochrome P450 reductase,Mus musculus,2333.9,1827.1,2044.3
P37804,Tagln,Transgelin,Mus musculus,5018.75,NA,5018.75
P39039,Mbl1,Mannose-binding protein A,Mus musculus,9987.65,NA,9987.65
P39054,Dnm2,Dynamin-2,Mus musculus,3571.0600000000004,2646.42,3108.7400000000002
P39061,Col18a1,Collagen alpha-1(XVIII) chain,Mus musculus,1234.44,1188,1211.22
P39098,Man1a2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",Mus musculus,773.56,1040.6,907.08
P39654,Alox15,Polyunsaturated fatty acid lipoxygenase ALOX15,Mus musculus,NA,275.9,275.9
P39655,Alox12,Polyunsaturated fatty acid lipoxygenase ALOX12,Mus musculus,1484.275,276.79999999999995,1081.7833333333333
P39749,Fen1,Flap endonuclease 1,Mus musculus,1077.04,1176.3999999999999,1126.72
P40124,Cap1,Adenylyl cyclase-associated protein 1,Mus musculus,33359.119,39741.58,36550.3495
P40142,Tkt,Transketolase,Mus musculus,122670.7608,147573.1218,135121.9413
P40237,Cd82,CD82 antigen,Mus musculus,4211.62,1316.06,2763.84
P40336,Vps26a,Vacuolar protein sorting-associated protein 26A,Mus musculus,5530.45,1503.425,3516.9375
P40936,Inmt,Indolethylamine N-methyltransferase,Mus musculus,14743.2,NA,14743.2
P41160,Lep,Leptin,Mus musculus,3315.9,NA,3315.9
P41216,Acsl1,Long-chain-fatty-acid--CoA ligase 1,Mus musculus,1516.22,848.14,1182.18
P41245,Mmp9,Matrix metalloproteinase-9,Mus musculus,47686.6,89476.7188,68581.6594
P41317,Mbl2,Mannose-binding protein C,Mus musculus,10898.6198,1797.475,6853.6665555555555
P41731,Cd63,CD63 antigen,Mus musculus,8581.52,6842.76,7712.139999999999
P42208,Septin2,Septin-2,Mus musculus,2951.45,408.175,1255.9333333333334
P42669,Pura,Transcriptional activator protein Pur-alpha,Mus musculus,10229,NA,10229
P42703,Lifr,Leukemia inhibitory factor receptor,Mus musculus,16236.44,13625.1,14930.77
P42932,Cct8,T-complex protein 1 subunit theta,Mus musculus,2322.98,1989.76,2156.37
P43025,Clec3b,Tetranectin,Mus musculus,1189.5,NA,1189.5
P43027,Gdf5,Growth/differentiation factor 5,Mus musculus,45686.62,57417.1,51551.86
P43274,H1-4,Histone H1.4,Mus musculus,158894.3406,225160.4406,192027.3906
P43275,H1-1,Histone H1.1,Mus musculus,7466.3,12850.6602,10158.4801
P43276,H1-5,Histone H1.5,Mus musculus,9265.92,14833.8402,12049.8801
P43277,H1-3,Histone H1.3,Mus musculus,182197.24219999998,265915.6594,224056.4508
P45376,Akr1b1,Aldo-keto reductase family 1 member B1,Mus musculus,14528.7796,7547.2,11037.989800000001
P45700,Man1a1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",Mus musculus,367789.62179999996,341484.603,354637.1124
P45878,Fkbp2,Peptidyl-prolyl cis-trans isomerase FKBP2,Mus musculus,65658.6008,5780.72,35719.6604
P45952,Acadm,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",Mus musculus,2404.92,3843.7,3124.31
P46412,Gpx3,Glutathione peroxidase 3,Mus musculus,62801.8814,15413.0398,39107.460600000006
P46460,Nsf,Vesicle-fusing ATPase,Mus musculus,750.1999999999999,137.975,400.35714285714283
P46467,Vps4b,Vacuolar protein sorting-associated protein 4B,Mus musculus,3378.32,2735.12,3056.72
P46471,Psmc2,26S proteasome regulatory subunit 7,Mus musculus,3717.3999999999996,545.95,2131.675
P46638,Rab11b,Ras-related protein Rab-11B,Mus musculus,18953.4598,15748.8596,17351.1597
P46664,Adss2,Adenylosuccinate synthetase isozyme 2,Mus musculus,1759.3249999999998,2338.76,2081.233333333333
P46935,Nedd4,E3 ubiquitin-protein ligase NEDD4,Mus musculus,1899.2,541.4,1084.52
P46978,Stt3a,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,Mus musculus,551.6333333333333,749.3666666666667,650.5
P47212,Gal,Galanin peptides,Mus musculus,2122.6666666666665,3812.1333333333337,2967.4
P47738,Aldh2,"Aldehyde dehydrogenase, mitochondrial",Mus musculus,16295.4002,18376.1402,17335.7702
P47739,Aldh3a1,"Aldehyde dehydrogenase, dimeric NADP-preferring",Mus musculus,474580.6938,418673.9156,446627.3047
P47753,Capza1,F-actin-capping protein subunit alpha-1,Mus musculus,32396.9396,46877.4796,39637.2096
P47754,Capza2,F-actin-capping protein subunit alpha-2,Mus musculus,42648.3596,50298.4602,46473.4099
P47757,Capzb,F-actin-capping protein subunit beta,Mus musculus,15277.3998,9737.26,12507.3299
P47791,Gsr,"Glutathione reductase, mitochondrial",Mus musculus,10936.5802,16536.239999999998,13736.4101
P47856,Gfpt1,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,Mus musculus,10302.34,24694.079999999998,17498.21
P47857,Pfkm,"ATP-dependent 6-phosphofructokinase, muscle type",Mus musculus,837.8399999999999,676.8,811
P47911,Rpl6,Large ribosomal subunit protein eL6,Mus musculus,3886.8,4248.7,4047.6444444444446
P47955,Rplp1,Large ribosomal subunit protein P1,Mus musculus,82780.06079999999,38837.6604,60808.8606
P47963,Rpl13,Large ribosomal subunit protein eL13,Mus musculus,4855.3,2649.625,3594.9142857142856
P47968,Rpia,Ribose-5-phosphate isomerase,Mus musculus,4938.7,741.58,1441.1
P48025,Syk,Tyrosine-protein kinase SYK,Mus musculus,885.0999999999999,858.9749999999999,872.0375
P48036,Anxa5,Annexin A5,Mus musculus,49561.8408,37477.5796,43519.7102
P48193,Epb41,Protein 4.1,Mus musculus,8225,NA,8225
P48441,Idua,Alpha-L-iduronidase,Mus musculus,10931.12,9228.98,10080.050000000001
P48678,Lmna,Prelamin-A/C,Mus musculus,15126.74,12073.480000000001,13600.11
P48722,Hspa4l,Heat shock 70 kDa protein 4L,Mus musculus,1498.6666666666667,325.025,828.0142857142857
P48758,Cbr1,Carbonyl reductase [NADPH] 1,Mus musculus,6592.459999999999,3670.9,5131.68
P48774,Gstm5,Glutathione S-transferase Mu 5,Mus musculus,2281.3,1401.575,1890.3111111111114
P48997,Ivl,Involucrin,Mus musculus,99,1106.5,770.6666666666666
P49182,Serpind1,Heparin cofactor 2,Mus musculus,27828.759400000003,3095.12,15461.9397
P49183,Dnase1,Deoxyribonuclease-1,Mus musculus,441622230.4,393650336,417636283.2
P49222,Epb42,Protein 4.2,Mus musculus,5090.8,NA,5090.8
P49312,Hnrnpa1,Heterogeneous nuclear ribonucleoprotein A1,Mus musculus,2191.08,2437.94,2314.51
P49442,Inpp1,Inositol polyphosphate 1-phosphatase,Mus musculus,2235.5,3074.1499999999996,2794.6
P49443,Ppm1a,Protein phosphatase 1A,Mus musculus,1167.2,492.53999999999996,685.3
P49710,Hcls1,Hematopoietic lineage cell-specific protein,Mus musculus,198.525,3057.1800000000003,1786.6666666666665
P49722,Psma2,Proteasome subunit alpha type-2,Mus musculus,7720.280199999999,2532.025,5414.389
P49813,Tmod1,Tropomodulin-1,Mus musculus,3358.62,862.24,2110.43
P49891,Sult1e1,Sulfotransferase 1E1,Mus musculus,4676.9,4879.86,4778.38
P49935,Ctsh,Pro-cathepsin H,Mus musculus,336487.0158,297934.27520000003,317210.6455
P50114,S100b,Protein S100-B,Mus musculus,4495.4,NA,4495.4
P50247,Ahcy,Adenosylhomocysteinase,Mus musculus,7187.5998,3881.6,5534.5999
P50396,Gdi1,Rab GDP dissociation inhibitor alpha,Mus musculus,5940.3002,3728.88,4834.5901
P50404,Sftpd,Pulmonary surfactant-associated protein D,Mus musculus,5231.78,5130.96,5181.37
P50405,Sftpb,Pulmonary surfactant-associated protein B,Mus musculus,23005.367333333335,13514.6396,17073.6625
P50429,Arsb,Arylsulfatase B,Mus musculus,10902.52,9314.88,10108.7
P50431,Shmt1,"Serine hydroxymethyltransferase, cytosolic",Mus musculus,371.32,590.48,480.9
P50446,Krt6a,"Keratin, type II cytoskeletal 6A",Mus musculus,4234935.25,3462223.2,3848579.225
P50516,Atp6v1a,V-type proton ATPase catalytic subunit A,Mus musculus,11080.0602,9763.9,10421.9801
P50518,Atp6v1e1,V-type proton ATPase subunit E 1,Mus musculus,7230.6497500000005,6977.139999999999,7089.811
P50543,S100a11,Protein S100-A11,Mus musculus,36410.28,44182.7602,40296.5201
P50580,Pa2g4,Proliferation-associated protein 2G4,Mus musculus,3747.7599999999998,3920.46,3834.1099999999997
P50608,Fmod,Fibromodulin,Mus musculus,2462.62,1778.12,2120.37
P51150,Rab7a,Ras-related protein Rab-7a,Mus musculus,39736.1598,34574.9602,37155.56
P51174,Acadl,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",Mus musculus,4300.04,2525.4000000000005,3511.311111111111
P51432,Plcb3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",Mus musculus,1059.24,372.9,716.0699999999999
P51437,Camp,Cathelicidin antimicrobial peptide,Mus musculus,387682.8344,606950.0684,497316.4514
P51569,Gla,Alpha-galactosidase A,Mus musculus,4428.92,6084.24,5256.58
P51655,Gpc4,Glypican-4,Mus musculus,47741.5598,44857.4,46299.4799
P51667,Myl2,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform",Mus musculus,3826.64,5210.3,4518.47
P51855,Gss,Glutathione synthetase,Mus musculus,3177.28,1387.96,2282.62
P51859,Hdgf,Hepatoma-derived growth factor,Mus musculus,1328.05,928.7666666666668,1156.9285714285716
P51863,Atp6v0d1,V-type proton ATPase subunit d 1,Mus musculus,1606.42,2168.64,1887.53
P51881,Slc25a5,ADP/ATP translocase 2,Mus musculus,16850.1998,16988.6998,16919.4498
P51885,Lum,Lumican,Mus musculus,38132.665666666675,2944.2333333333336,20538.4495
P51910,Apod,Apolipoprotein D,Mus musculus,55088.47820000001,1806.3799999999999,28447.4291
P52196,Tst,Thiosulfate sulfurtransferase,Mus musculus,4423.975,924.425,2674.2
P52430,Pon1,Serum paraoxonase/arylesterase 1,Mus musculus,35775.72119999999,7787.34,21781.5306
P52480,Pkm,Pyruvate kinase PKM,Mus musculus,258866.506,223022.6218,240944.5639
P52760,Rida,2-iminobutanoate/2-iminopropanoate deaminase,Mus musculus,8483.92525,5370.799999999999,6927.362625
P52793,Efna1,Ephrin-A1,Mus musculus,1469.22,3529,2499.11
P53026,Rpl10a,Large ribosomal subunit protein uL1,Mus musculus,2649.75,2600.06,2622.1444444444446
P53657,Pklr,Pyruvate kinase PKLR,Mus musculus,6801.9,NA,6801.9
P53810,Pitpna,Phosphatidylinositol transfer protein alpha isoform,Mus musculus,1322.3600000000001,1147.18,1234.77
P53986,Slc16a1,Monocarboxylate transporter 1,Mus musculus,1174.3,NA,1174.3
P53994,Rab2a,Ras-related protein Rab-2A,Mus musculus,11542.02,12690.1,12116.06
P54071,Idh2,"Isocitrate dehydrogenase [NADP], mitochondrial",Mus musculus,1734.775,1438.7666666666667,1607.9142857142858
P54116,Stom,Stomatin,Mus musculus,8538.2,1586.4,5062.3
P54227;P55821,Stmn1;Stmn2,Stathmin;Stathmin-2,Mus musculus,4767.1,3181.3500000000004,3709.9333333333334
P54615,Bglap3,Osteocalcin-related protein,Mus musculus,165544.7188,606456.0102,386000.3644999999
P54751,St3gal1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",Mus musculus,9951.98,28605.319600000003,19278.6498
P54818,Galc,Galactocerebrosidase,Mus musculus,11867.520199999999,5679.3,8773.4101
P54822,Adsl,Adenylosuccinate lyase,Mus musculus,6525.820000000001,2202.06,4363.94
P54823,Ddx6,Probable ATP-dependent RNA helicase DDX6,Mus musculus,400.3,544.98,520.8666666666667
P55065,Pltp,Phospholipid transfer protein,Mus musculus,11606.979800000001,1606.94,6606.9599
P55249,Alox12e,"Polyunsaturated fatty acid (12S)/(13S)-lipoxygenase, epidermal-type",Mus musculus,146720.3982,94362.0202,120541.2092
P55258,Rab8a,Ras-related protein Rab-8A,Mus musculus,1716.2,2335.28,2060.133333333333
P55292,Dsc2,Desmocollin-2,Mus musculus,25958.799600000002,34889.8204,30424.31
P55302,Lrpap1,Alpha-2-macroglobulin receptor-associated protein,Mus musculus,842.1,674.4000000000001,794.1857142857143
P55849,Dsc1,Desmocollin-1,Mus musculus,3659.34,1732.44,2695.8900000000003
P56135,Atp5mf,"ATP synthase subunit f, mitochondrial",Mus musculus,5358.05,6094.966666666666,5673.871428571429
P56376,Acyp1,Acylphosphatase-1,Mus musculus,3939.92,3204.06,3571.99
P56395,Cyb5a,Cytochrome b5,Mus musculus,25154.775,6213.075,15683.925
P56399,Usp5,Ubiquitin carboxyl-terminal hydrolase 5,Mus musculus,2826.88,2024.38,2425.63
P56400,Gp1bb,Platelet glycoprotein Ib beta chain,Mus musculus,3288.6,NA,3288.6
P56480,Atp5f1b,"ATP synthase subunit beta, mitochondrial",Mus musculus,40008.3608,43165.2,41586.7804
P56542,Dnase2,Deoxyribonuclease-2-alpha,Mus musculus,27763.3602,38250.4806,33006.9204
P56565,S100a1,Protein S100-A1,Mus musculus,2220.52,0.6,1850.5333333333333
P56567,Csta,Cystatin-A,Mus musculus,80712.7806,100591.2602,90652.02040000001
P56812,Pdcd5,Programmed cell death protein 5,Mus musculus,1851.1,NA,1851.1
P56959,Fus,RNA-binding protein FUS,Mus musculus,921.08,1400.96,1161.02
P57096,Psca,Prostate stem cell antigen,Mus musculus,9487.5,16432.140199999998,12959.820099999999
P57716,Ncstn,Nicastrin,Mus musculus,909.025,644.1666666666667,795.5142857142857
P57746,Atp6v1d,V-type proton ATPase subunit D,Mus musculus,1219.75,650.4666666666667,878.1800000000001
P57759,Erp29,Endoplasmic reticulum resident protein 29,Mus musculus,14113.1598,8138.82,11125.9899
P57776,Eef1d,Elongation factor 1-delta,Mus musculus,9433.34,4266.24,6849.79
P57780,Actn4,Alpha-actinin-4,Mus musculus,16191.8398,16706.14,16448.9899
P58021,Tm9sf2,Transmembrane 9 superfamily member 2,Mus musculus,426.66666666666663,1207.7,914.8125
P58044,Idi1,Isopentenyl-diphosphate Delta-isomerase 1,Mus musculus,4422.8,3403.04,3912.92
P58058,Nadk,NAD kinase,Mus musculus,829.6666666666666,973.24,919.4
P58158,B3gat3,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,Mus musculus,2203.08,3577.02,2890.05
P58242,Smpdl3b,Acid sphingomyelinase-like phosphodiesterase 3b,Mus musculus,28710.58,32412.48,30561.53
P58252,Eef2,Elongation factor 2,Mus musculus,65159.4194,60738.5398,62948.9796
P58389,Ptpa,Serine/threonine-protein phosphatase 2A activator,Mus musculus,14661,1149.45,5653.3
P58771,Tpm1,Tropomyosin alpha-1 chain,Mus musculus,12603.367,11739.5245,12109.742714285714
P58774,Tpm2,Tropomyosin beta chain,Mus musculus,7377.266666666666,4748.3,6720.025
P59325,Eif5,Eukaryotic translation initiation factor 5,Mus musculus,23771.3592,23088.1994,23429.779300000002
P59729,Rin3,Ras and Rab interactor 3,Mus musculus,NA,232.3,232.3
P59999,Arpc4,Actin-related protein 2/3 complex subunit 4,Mus musculus,127377.661,147946.9406,137662.3008
P60122,Ruvbl1,RuvB-like 1,Mus musculus,809.64,868.76,839.2
P60229,Eif3e,Eukaryotic translation initiation factor 3 subunit E,Mus musculus,1996.3,1536.48,1766.3899999999999
P60335,Pcbp1,Poly(rC)-binding protein 1,Mus musculus,2386.3,570.3666666666667,1024.3500000000001
P60710;P63260,Actb;Actg1,"Actin, cytoplasmic 1;Actin, cytoplasmic 2",Mus musculus,1414065.075,1942668.975,1678367.025
P60766,Cdc42,Cell division control protein 42 homolog,Mus musculus,5781.14,5048.28,5414.71
P60843,Eif4a1,Eukaryotic initiation factor 4A-I,Mus musculus,39788.4406,46381.501,43084.970799999996
P61021,Rab5b,Ras-related protein Rab-5B,Mus musculus,2542.7,717.4,1630.05
P61027,Rab10,Ras-related protein Rab-10,Mus musculus,28499.5596,21800.0798,25149.8197
P61087,Ube2k,Ubiquitin-conjugating enzyme E2 K,Mus musculus,2383.2999999999997,1697,1954.3625
P61089,Ube2n,Ubiquitin-conjugating enzyme E2 N,Mus musculus,36509.4006,31045.8402,33777.6204
P61161,Actr2,Actin-related protein 2,Mus musculus,70742.0008,94666.0188,82704.0098
P61202,Cops2,COP9 signalosome complex subunit 2,Mus musculus,613.8,45.2,329.5
P61205;P84078,Arf3;Arf1,ADP-ribosylation factor 3;ADP-ribosylation factor 1,Mus musculus,81278.5406,48710.7406,64994.6406
P61211,Arl1,ADP-ribosylation factor-like protein 1,Mus musculus,2716.56,2780.54,2748.55
P61255,Rpl26,Large ribosomal subunit protein uL24,Mus musculus,7183.46,6076.0599999999995,6629.76
P61290,Psme3,Proteasome activator complex subunit 3,Mus musculus,3766.4,NA,3766.4
P61358,Rpl27,Large ribosomal subunit protein eL27,Mus musculus,16425.2005,14162.933333333332,15455.657428571429
P61750,Arf4,ADP-ribosylation factor 4,Mus musculus,4092.16,3815.625,3969.2555555555555
P61804,Dad1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,Mus musculus,2216.8333333333335,2989.5666666666666,2603.2
P61809,Cdk5r1,Cyclin-dependent kinase 5 activator 1,Mus musculus,216591.07820000002,126680.859,171635.9686
P61924,Copz1,Coatomer subunit zeta-1,Mus musculus,2631.46,2286.6,2478.188888888889
P61939,Serpina7,Thyroxine-binding globulin,Mus musculus,1278.3,NA,1278.3
P61957;Q9Z172,Sumo2;Sumo3,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3,Mus musculus,14381.9,8641.560000000001,11511.73
P61961,Ufm1,Ubiquitin-fold modifier 1,Mus musculus,62063.7788,72948.7202,67506.2495
P61967,Ap1s1,AP-1 complex subunit sigma-1A,Mus musculus,4439.4800000000005,4657.9,4548.6900000000005
P61971,Nutf2,Nuclear transport factor 2,Mus musculus,5239.96,2335.4500000000003,3949.0666666666666
P61979,Hnrnpk,Heterogeneous nuclear ribonucleoprotein K,Mus musculus,8738.2798,7945,8341.6399
P61982,Ywhag,14-3-3 protein gamma,Mus musculus,111314.1798,149190.20299999998,130252.1914
P62082,Rps7,Small ribosomal subunit protein eS7,Mus musculus,4677.65,4286.066666666667,4509.828571428571
P62137,Ppp1ca,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit,Mus musculus,4269.8,3247.7200000000003,3758.7599999999998
P62196,Psmc5,26S proteasome regulatory subunit 8,Mus musculus,2610.7599999999998,1054.52,1832.64
P62242,Rps8,Small ribosomal subunit protein eS8,Mus musculus,12954.6598,9194.24,11074.4499
P62245,Rps15a,Small ribosomal subunit protein uS8,Mus musculus,13980.88,19817.82,16899.35
P62257,Ube2h,Ubiquitin-conjugating enzyme E2 H,Mus musculus,1029.9,NA,1029.9
P62259,Ywhae,14-3-3 protein epsilon,Mus musculus,31224.359400000005,18565.7002,24895.0298
P62264,Rps14,Small ribosomal subunit protein uS11,Mus musculus,10770.4,13256.9,11875.511111111111
P62267,Rps23,Small ribosomal subunit protein uS12,Mus musculus,4325.566666666667,2435.9333333333334,3380.75
P62270,Rps18,Small ribosomal subunit protein uS13,Mus musculus,14023.5998,9640.6,11832.0999
P62281,Rps11,Small ribosomal subunit protein uS17,Mus musculus,718.5,343.9,468.76666666666665
P62301,Rps13,Small ribosomal subunit protein uS15,Mus musculus,18314.5798,20036.0602,19175.32
P62305,Snrpe,Small nuclear ribonucleoprotein E,Mus musculus,6183.78,9927.0798,8055.4299
P62307,Snrpf,Small nuclear ribonucleoprotein F,Mus musculus,1188.6,603.25,798.3666666666667
P62309,Snrpg,Small nuclear ribonucleoprotein G,Mus musculus,2703.85,9616.475,6160.1625
P62311,Lsm3,U6 snRNA-associated Sm-like protein LSm3,Mus musculus,4338.4000000000005,4444.666666666667,4391.533333333334
P62313,Lsm6,U6 snRNA-associated Sm-like protein LSm6,Mus musculus,1745.275,2531.2200000000003,2181.911111111111
P62315,Snrpd1,Small nuclear ribonucleoprotein Sm D1,Mus musculus,27542.479599999995,5492.32,16517.3998
P62320,Snrpd3,Small nuclear ribonucleoprotein Sm D3,Mus musculus,5338.66,8971.7198,7155.1899
P62334,Psmc6,26S proteasome regulatory subunit 10B,Mus musculus,2684.65,678.175,1347
P62627,Dynlrb1,Dynein light chain roadblock-type 1,Mus musculus,3717.5999999999995,1319.225,2118.6833333333334
P62631,Eef1a2,Elongation factor 1-alpha 2,Mus musculus,23016.699,142.95,7767.533
P62702,Rps4x,Small ribosomal subunit protein eS4,Mus musculus,4114.66,2506.55,3399.944444444445
P62715;P63330,Ppp2cb;Ppp2ca,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform;Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,Mus musculus,1959.3,1715.5,1837.3999999999999
P62743,Ap2s1,AP-2 complex subunit sigma,Mus musculus,3675.22,3110.825,3424.3777777777777
P62748,Hpcal1,Hippocalcin-like protein 1,Mus musculus,1691.22,2197.6499999999996,1916.3
P62751,Rpl23a,Large ribosomal subunit protein uL23,Mus musculus,3981.766666666667,1774.375,2720.4
P62754,Rps6,Small ribosomal subunit protein eS6,Mus musculus,6965.26,8665.2,7815.23
P62774,Mtpn,Myotrophin,Mus musculus,13438.08,6849.14,10143.61
P62806,H4c1,Histone H4,Mus musculus,2870243.475,4498887.275,3684565.375
P62810,Wfdc18,WAP four-disulfide core domain protein 18,Mus musculus,53440.5602,71927.3586,62683.9594
P62814,Atp6v1b2,"V-type proton ATPase subunit B, brain isoform",Mus musculus,6723.58,7216.5,6970.04
