ProteinAccessions,gene,PG.ProteinDescriptions,PG.Organisms,iBAQ_mean_male,iBAQ_mean_female,iBAQ_mean_all_1_10
O08738,Casp6,Caspase-6,Mus musculus,801.7333333333333,442.45,658.0200000000001
O08739,Ampd3,AMP deaminase 3,Mus musculus,88.4,0.1,44.25
O08742,Gp5,Platelet glycoprotein V,Mus musculus,709.3,NA,709.3
O08785,Clock,Circadian locomoter output cycles protein kaput,Mus musculus,4972.7,1590.34,3281.52
O08795,Prkcsh,Glucosidase 2 subunit beta,Mus musculus,54061.4184,40524.9796,47293.199
O08807,Prdx4,Peroxiredoxin-4,Mus musculus,10673.02,7149.7,8911.36
O08808,Diaph1,Protein diaphanous homolog 1,Mus musculus,530.16,457.74,493.95
O08832,Galnt4,Polypeptide N-acetylgalactosaminyltransferase 4,Mus musculus,7327.18,7896.0999999999995,7611.64
O08912,Galnt1,Polypeptide N-acetylgalactosaminyltransferase 1,Mus musculus,9239.7,9904.44,9572.07
O08992,Sdcbp,Syntenin-1,Mus musculus,46515.72,42674.2602,44594.9901
O08997,Atox1,Copper transport protein ATOX1,Mus musculus,6792.075,8214.7,7076.6
O09010,Lfng,"Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe",Mus musculus,5974.72,6820.0999999999995,6397.41
O09049,Reg3g,Regenerating islet-derived protein 3-gamma,Mus musculus,234405.3174,211292.65480000002,222848.9861
O09061,Psmb1,Proteasome subunit beta type-1,Mus musculus,37836.94,45303.8592,41570.399600000004
O09114,Ptgds,Prostaglandin-H2 D-isomerase,Mus musculus,7675.219999999999,4324.45,6185.988888888889
O09116,Sprr3,Small proline-rich protein 3,Mus musculus,6856.22,4704.24,5780.23
O09118,Ntn1,Netrin-1,Mus musculus,2191.32,648.84,1420.0800000000002
O09131,Gsto1,Glutathione S-transferase omega-1,Mus musculus,321412.3436,326390.8128,323901.5782
O09159,Man2b1,Lysosomal alpha-mannosidase,Mus musculus,133931.9798,103293.7992,118612.8895
O09164,Sod3,Extracellular superoxide dismutase [Cu-Zn],Mus musculus,3908.2333333333336,762.6,2110.7285714285717
O09172,Gclm,Glutamate--cysteine ligase regulatory subunit,Mus musculus,6947.866666666667,316.76666666666665,3632.316666666667
O35188,Cx3cl1,Fractalkine,Mus musculus,751.16,1308.4,1029.78
O35215,Ddt,D-dopachrome decarboxylase,Mus musculus,6031.5998,3906.94,4969.2699
O35226,Psmd4,26S proteasome non-ATPase regulatory subunit 4,Mus musculus,27834.633333333335,11430.533666666666,19632.5835
O35286,Dhx15,ATP-dependent RNA helicase DHX15,Mus musculus,406.6666666666667,664.05,509.62
O35292,Rnase2b,Ribonuclease 2B,Mus musculus,43546.5408,47528.1808,45537.3608
O35295,Purb,Transcriptional regulator protein Pur-beta,Mus musculus,1214.6000000000001,NA,1214.6000000000001
O35310,Hs3st1,Heparan sulfate glucosamine 3-O-sulfotransferase 1,Mus musculus,5458.4,11212.9,8335.65
