human_gene,mouse_gene,TPM_human,TPM_mouse
A1BG,A1bg,0.7758861005448724,0.4965153334638672
A2M,A2m,63.057452191656864,0.00782111533370239
ABHD15,Abhd15,3.3401052838792116,0.3435983622511802
ABO,Abo,0.22065524933991543,5.310647914009056
ACAN,Acan,0.05813182752118789,0.00330902884734297
ACE,Ace,1.7006084853761363,4.666185647663154
ACE2,Ace2,0.5944552531801497,0.567249851820912
ACP3,Acp3,5.5886515200541895,39.12891231385496
ACP7,Acp7,0.04304746908869866,0.00407889624085158
ACRBP,Acrbp,0.2792175421213273,3.654900437202519
ADAM23,Adam23,0.35900646109057593,0.5389951543190629
ADAMDEC1,Adamdec1,0.2586246767448412,0.26881740722748837
ADAMTS1,Adamts1,4.658328952880553,1.117318810243737
ADAMTS10,Adamts10,1.2173386568074165,8.245252083816448
ADAMTS12,Adamts12,0.784846613276506,0.906844495402457
ADAMTS13,Adamts13,0,0.05079234458071148
ADAMTS14,Adamts14,0.1865303487604667,0.35382216665622684
ADAMTS15,Adamts15,0.5561780119080278,3.093813593154429
ADAMTS16,Adamts16,0.1882939727110475,0.02224854603538276
ADAMTS17,Adamts17,2.414934392900482,0.6855870192826498
ADAMTS18,Adamts18,3.823149121234785,0.23342011085192785
ADAMTS19,Adamts19,0.3166736228953352,0.00364570719376685
ADAMTS2,Adamts2,0.24758294092025737,9.663911656213696
ADAMTS20,Adamts20,0.01952632197796221,0.03465564822289526
ADAMTS3,Adamts3,0.579379319632497,0.13345516762501056
ADAMTS4,Adamts4,1.0620018550608294,0.10120536986847645
ADAMTS5,Adamts5,0.7340176516717506,1.0557820924475376
ADAMTS6,Adamts6,0.16855755464532404,0.0555933653989121
ADAMTS7,Adamts7,0.3644013106807558,0.3342656622480738
ADAMTS8,Adamts8,0.3410142007899571,0.07764394916354149
ADAMTS9,Adamts9,3.236479165458498,1.047604578233951
ADAMTSL1,Adamtsl1,0.47573896936004495,0.3804587996974193
ADAMTSL2,Adamtsl2,1.5731145295589932,1.3135594516864664
ADAMTSL3,Adamtsl3,0.24450731780603951,0.9373338525726248
ADAMTSL4,Adamtsl4,7.454674717858953,1.6809629012664562
ADAMTSL5,Adamtsl5,0.32941279568428056,2.2111319678174866
ADCYAP1,Adcyap1,0.04436266594826436,0.04276778643138705
ADGRB1,Adgrb1,0.6971348074675098,0.05225375781285186
ADGRG1,Adgrg1,25.536320867599983,28.01918353127788
ADIPOQ,Adipoq,2.6947772151030716,2.5811400995735387
ADM,Adm,4.651338455740047,6.035736815011478
ADM2,Adm2,1.924259282814085,1.149245553243844
AEBP1,Aebp1,8.641600361993492,5.396910604326472
AFM,Afm,0,1.2869268817553916
AFP,Afp,0,0.02631818876714331
AGER,Ager,0.0799832498321813,0.828138498009306
AGGF1,Aggf1,7.438853195827043,10.160715416231389
AGRN,Agrn,15.958553590817717,10.36653048046004
AGRP,Agrp,2.2579464852503217,0.3194590042835836
AGT,Agt,0.5369031499012992,170.2065829823373
AHSG,Ahsg,0.01115303126805848,48.859977228293886
AIMP1,Aimp1,7.893606270686743,26.8947770204918
ALB,Alb,0.1065428373381637,262.2421194848152
ALKAL1,Alkal1,0.09136850753492992,0
ALKAL2,Alkal2,1.3662530648462,0.32256315264913615
