human_gene,mouse_gene,TPM_human,TPM_mouse
A1BG,A1bg,1.310416603234925,0.7434224527671719
A2M,A2m,126.34010173008328,0.04697146859010206
ABHD15,Abhd15,3.472272404898437,0.9964536855617177
ABO,Abo,1.1768480383938311,4.765455938350083
ACAN,Acan,0.6037201207356541,0.00417351896580052
ACE,Ace,5.094415745432699,19.772790192088067
ACE2,Ace2,1.2869027291318902,0.4131859934195868
ACP3,Acp3,6.945596859212036,60.61104047043072
ACP7,Acp7,0.12030310737028745,0.02606151392067237
ACRBP,Acrbp,0.8300559813814926,6.506145294481866
ADAM23,Adam23,0.6286274654680087,0.7462429622483064
ADAMDEC1,Adamdec1,0.7062100540902837,5.572008592214307
ADAMTS1,Adamts1,14.685299710250904,4.3363213820408655
ADAMTS10,Adamts10,1.9758506392617357,8.607648773138322
ADAMTS12,Adamts12,2.7599261404295654,2.253052045898786
ADAMTS13,Adamts13,0,0.10912344207349094
ADAMTS14,Adamts14,1.86307707904062,0.6555086863086778
ADAMTS15,Adamts15,1.7257167902554655,4.881023780933454
ADAMTS16,Adamts16,0.24027198371131497,0.03524305298976917
ADAMTS17,Adamts17,2.7951963586073165,0.8715423309196594
ADAMTS18,Adamts18,0.5676979264238614,0.21792837848591823
ADAMTS19,Adamts19,0.874847708136267,0.00600751133587138
ADAMTS2,Adamts2,2.416854995082396,4.4370148502842754
ADAMTS20,Adamts20,0.0267659198955565,0.05542670324844777
ADAMTS3,Adamts3,0.8874303253118289,0.1439754660827147
ADAMTS4,Adamts4,1.7546070249308574,0.22972869314287228
ADAMTS5,Adamts5,1.0875974071733865,2.795421583223569
ADAMTS6,Adamts6,1.498220119947975,0.12573591204082238
ADAMTS7,Adamts7,0.6394203103901767,0.5586510853100056
ADAMTS8,Adamts8,0.43565887713246393,0.09165612579522604
ADAMTS9,Adamts9,5.7448786581392435,2.096637926893931
ADAMTSL1,Adamtsl1,1.5288236383829024,0.878026728902708
ADAMTSL2,Adamtsl2,1.0470926246463794,1.6710484378653372
ADAMTSL3,Adamtsl3,0.23435432004257736,1.070879901803642
ADAMTSL4,Adamtsl4,7.553946754233659,5.876024263586663
ADAMTSL5,Adamtsl5,0.8377807011968379,3.334985780401428
ADCYAP1,Adcyap1,0.4914204016834121,0.10881040996928196
ADGRB1,Adgrb1,0.43294252848608766,0.02841796733007568
ADGRG1,Adgrg1,22.93205203475983,52.89458932996693
ADIPOQ,Adipoq,0.7252167185792461,2.9082130011468994
ADM,Adm,3.6968598480984234,3.738151627822825
ADM2,Adm2,3.332764677901497,7.605872738804267
AEBP1,Aebp1,18.105925668949805,8.210911734684581
AFM,Afm,0,1.767302115616775
AFP,Afp,0.0235635447663259,0.06223620503820672
AGER,Ager,0,1.5910506912625113
AGGF1,Aggf1,11.992495736506363,33.775326504681324
AGRN,Agrn,17.935367335275668,19.43775534393245
AGRP,Agrp,1.33520420083122,1.125498504757113
AGT,Agt,1.1947316768189762,35.94583524764742
AHSG,Ahsg,0.0267285057670216,71.4382717948969
AIMP1,Aimp1,10.853286512066532,76.72471795234182
ALB,Alb,0.09625770424044028,380.478453116594
ALKAL1,Alkal1,0.8703325493770661,0
ALKAL2,Alkal2,0.788675270272714,0.6582066484244862
AMBN,Ambn,0.0233157838916774,0
AMBP,Ambp,0.30289203390038466,44.04812729242434
AMH,Amh,0.2862890512893891,0.41569790687530983
AMTN,Amtn,3.4183867863177397,0.18235967698218308
ANGPT1,Angpt1,5.4710050180590635,2.719183578435519
ANGPT2,Angpt2,7.62621051704465,0.31365651877502326
ANGPT4,Angpt4,0.05983168823819027,0.05875349566378665
ANGPTL1,Angptl1,5.4156667834310035,0.3951520559752054
ANGPTL2,Angptl2,5.4691300915191405,32.54186799703127
