Geneid,secreted,Reference,Function,Mean_TPM,Mean_TPM_Male,Mean_TPM_Fem,Mous-1B-PAR-Mal-L,Mous-2B-PAR-Mal-L,Mous-3B-PAR-Mal-L,Mous-3A-PAR-Mal-L,Mous-4A-PAR-Fem-L,Mous-5A-PAR-Fem-L
0610005C13Rik,No_annotation,NA,NA,1.0649479664159502,0.8296045003973105,1.53563489845323,0.71977556353829,0.864694341557338,1.41931304747781,0.314635049015804,1.10404600159083,1.96722379531563
0610006L08Rik,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0
0610009E02Rik,No_annotation,NA,NA,0.23468923529069,0.29209285299419024,0.1198819998836895,0.39442646265688,0.14493924201342,0.33015235281272,0.298853354493741,0.121000206474716,0.118763793292663
0610009L18Rik,No_annotation,NA,NA,3.6795633691333585,3.395441864397405,4.247806378605265,5.82081702160032,3.41128203890633,2.10012098416815,2.24954741291482,2.27058646741983,6.2250262897907
0610010K14Rik,No_annotation,NA,NA,38.07725066189425,30.294047417721224,53.6436571502403,37.868559006461,21.8447705064378,29.915324285109,31.5475358728771,20.5679536751317,86.7193606253489
0610025J13Rik,No_annotation,NA,NA,0.15575227945413933,0.13473281907302875,0.19779120021636046,0.159779238344801,0.117427626631243,0.100306704413587,0.161417706902484,0.318605867743032,0.0769765326896889
0610030E20Rik,No_annotation,NA,NA,8.750325567717484,7.828813870673367,10.593348961805715,10.4137941532894,4.91764618227955,6.32293631056087,9.66087883656365,5.52157292281103,15.6651250008004
0610031O16Rik,No_annotation,NA,NA,0.1615913858590148,0.15876154742193047,0.16725106273318352,0.188477451057216,0.138518996463069,0.236645914296132,0.0714038278713049,0.289100918079002,0.045401207387365
0610038B21Rik,No_annotation,NA,NA,0.03324501489426862,0.0420468015109007,0.01564144166100445,0.0203946710008071,0.074943961316854,0.0213390493959305,0.0515095243300112,0.0312828833220089,0
0610039H22Rik,No_annotation,NA,NA,0.42319648770258034,0.4810525607846015,0.307484341538538,0.850988600937788,0.429978145185361,0.267118127917826,0.376125369097431,0,0.614968683077076
0610039K10Rik,No_annotation,NA,NA,0.26669991951537886,0.15237830572766808,0.4953431470908005,0.359276470322315,0.120020665705119,0.0683477859726649,0.0618683009105734,0.125246664824973,0.865439629356628
