species,sample,tissue,path
mouse,Mous-3A-PAR-Mal-L,PAR,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-3A-PAR-Mal-L/quant.sf
mouse,Mous-3A-SL-Mal-L,SL,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-3A-SL-Mal-L/quant.sf
mouse,Mous-3A-SM-Mal-L,SM,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-3A-SM-Mal-L/quant.sf
mouse,Mous-3B-LIV-Mal,LIV,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-3B-LIV-Mal/quant.sf
mouse,Mous-3B-PANC-Mal,PANC,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-3B-PANC-Mal/quant.sf
mouse,Mous-3B-PAR-Mal-L,PAR,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-3B-PAR-Mal-L/quant.sf
mouse,Mous-3B-SL-Mal-L,SL,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-3B-SL-Mal-L/quant.sf
mouse,Mous-3B-SM-Mal-L,SM,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-3B-SM-Mal-L/quant.sf
mouse,Mous-4A-LIV-Fem,LIV,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-4A-LIV-Fem/quant.sf
mouse,Mous-4A-PANC-Fem,PANC,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-4A-PANC-Fem/quant.sf
mouse,Mous-4A-PAR-Fem-L,PAR,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-4A-PAR-Fem-L/quant.sf
mouse,Mous-4A-SL-Fem-L,SL,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-4A-SL-Fem-L/quant.sf
mouse,Mous-4A-SM-Fem-L,SM,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-4A-SM-Fem-L/quant.sf
mouse,Mous-4B-LIV-Fem,LIV,/Users/luane/Library/CloudStorage/Box-Box/SalivaryGlands_LL/Mouse_Transcriptome_SG/normalization_checks/salmon_reanalysis/salmon_quant_mouse/Mous-4B-LIV-Fem/quant.sf
