"Tissue","Sample","Expressed_genes_TPM_greater_than_2"
"PAR","Mous-1B-PAR-Mal-L",4524
"PAR","Mous-2B-PAR-Mal-L",2804
"PAR","Mous-3B-PAR-Mal-L",3860
"PAR","Mous-3A-PAR-Mal-L",3725
"PAR","Mous-4A-PAR-Fem-L",2659
"PAR","Mous-5A-PAR-Fem-L",6488
"SM","Mous-1B-SM-Mal-L",4560
"SM","Mous-2B-SM-Mal-L",4566
"SM","Mous-3B-SM-Mal-L",5081
"SM","Mous-4B-SM-Fem-L",3562
"SM","Mous-5B-SM-Fem-L",4501
"SM","Mous-6B-SM-Fem-L",3969
"SM","Mous-1A-SM-Mal-L",2756
"SM","Mous-2A-SM-Mal-L",4318
"SM","Mous-3A-SM-Mal-L",4804
"SM","Mous-4A-SM-Fem-L",4026
"SM","Mous-5A-SM-Fem-L",5853
"SM","Mous-6A-SM-Fem-L",3708
"SL","Mous-1B-SL-Mal-L",6537
"SL","Mous-2B-SL-Mal-L",6290
"SL","Mous-3B-SL-Mal-L",7102
"SL","Mous-4B-SL-Fem-L",7161
"SL","Mous-5B-SL-Fem-L",7578
"SL","Mous-6B-SL-Fem-L",6931
"SL","Mous-1A-SL-Mal-L",7914
"SL","Mous-2A-SL-Mal-L",8017
"SL","Mous-3A-SL-Mal-L",8041
"SL","Mous-4A-SL-Fem-L",7770
"SL","Mous-5A-SL-Fem-L",7711
"SL","Mous-6A-SL-Fem-L",7460
"PANC","Mous-1B-PANC-Mal",1613
"PANC","Mous-2B-PANC-Mal",1733
"PANC","Mous-3B-PANC-Mal",1653
"PANC","Mous-4B-PANC-Fem",1573
"PANC","Mous-5B-PANC-Fem",1912
"PANC","Mous-6B-PANC-Fem",1898
"PANC","Mous-1A-PANC-Mal",1522
"PANC","Mous-2A-PANC-Mal",1628
"PANC","Mous-3A-PANC-Mal",1558
"PANC","Mous-4A-PANC-Fem",1536
"PANC","Mous-5A-PANC-Fem",7612
"PANC","Mous-6A-PANC-Fem",6383
"LIV","Mous-1B-LIV-Mal",5157
"LIV","Mous-2B-LIV-Mal",5240
"LIV","Mous-3B-LIV-Mal",5347
"LIV","Mous-4B-LIV-Fem",5504
"LIV","Mous-5B-LIV-Fem",5219
"LIV","Mous-6B-LIV-Fem",5690
"LIV","Mous-1A-LIV-Mal",5558
"LIV","Mous-2A-LIV-Mal",5736
"LIV","Mous-3A-LIV-Mal",5862
"LIV","Mous-4A-LIV-Fem",5576
"LIV","Mous-5A-LIV-Fem",5481
"LIV","Mous-6A-LIV-Fem",5810
