"Tissue","Sample","Expressed_genes_TPM_greater_than_2"
"PAR","Mous-1B-PAR-Mal-L",43
"PAR","Mous-2B-PAR-Mal-L",50
"PAR","Mous-3B-PAR-Mal-L",41
"PAR","Mous-3A-PAR-Mal-L",28
"PAR","Mous-4A-PAR-Fem-L",25
"PAR","Mous-5A-PAR-Fem-L",84
"SM","Mous-1B-SM-Mal-L",41
"SM","Mous-2B-SM-Mal-L",42
"SM","Mous-3B-SM-Mal-L",43
"SM","Mous-4B-SM-Fem-L",27
"SM","Mous-5B-SM-Fem-L",33
"SM","Mous-6B-SM-Fem-L",25
"SM","Mous-1A-SM-Mal-L",40
"SM","Mous-2A-SM-Mal-L",44
"SM","Mous-3A-SM-Mal-L",44
"SM","Mous-4A-SM-Fem-L",27
"SM","Mous-5A-SM-Fem-L",36
"SM","Mous-6A-SM-Fem-L",29
"SL","Mous-1B-SL-Mal-L",58
"SL","Mous-2B-SL-Mal-L",63
"SL","Mous-3B-SL-Mal-L",66
"SL","Mous-4B-SL-Fem-L",75
"SL","Mous-5B-SL-Fem-L",96
"SL","Mous-6B-SL-Fem-L",53
"SL","Mous-1A-SL-Mal-L",92
"SL","Mous-2A-SL-Mal-L",106
"SL","Mous-3A-SL-Mal-L",99
"SL","Mous-4A-SL-Fem-L",88
"SL","Mous-5A-SL-Fem-L",82
"SL","Mous-6A-SL-Fem-L",99
"PANC","Mous-1B-PANC-Mal",44
"PANC","Mous-2B-PANC-Mal",41
"PANC","Mous-3B-PANC-Mal",43
"PANC","Mous-4B-PANC-Fem",43
"PANC","Mous-5B-PANC-Fem",46
"PANC","Mous-6B-PANC-Fem",43
"PANC","Mous-1A-PANC-Mal",50
"PANC","Mous-2A-PANC-Mal",45
"PANC","Mous-3A-PANC-Mal",42
"PANC","Mous-4A-PANC-Fem",39
"PANC","Mous-5A-PANC-Fem",125
"PANC","Mous-6A-PANC-Fem",82
"LIV","Mous-1B-LIV-Mal",129
"LIV","Mous-2B-LIV-Mal",134
"LIV","Mous-3B-LIV-Mal",133
"LIV","Mous-4B-LIV-Fem",132
"LIV","Mous-5B-LIV-Fem",143
"LIV","Mous-6B-LIV-Fem",129
"LIV","Mous-1A-LIV-Mal",127
"LIV","Mous-2A-LIV-Mal",140
"LIV","Mous-3A-LIV-Mal",138
"LIV","Mous-4A-LIV-Fem",113
"LIV","Mous-5A-LIV-Fem",93
"LIV","Mous-6A-LIV-Fem",120
