UniqueCount	AmbigCount
34164	27
28019	78
129094	17538
622	61181
3272	10
136	40034
122	56755
20	5806
33	3224
24955	22528
22276	27
3759	6
77148	72
0	0
0	0
0	0
0	0
0	0
0	0
1	19
194	871
377	867
0	1
17	5
5	1
0	0
0	0
3	8
0	1
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
1	1
0	1
0	0
173	26
0	0
0	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
1	7
0	0
1	7
0	1
0	1
0	0
0	1
0	1
0	1
0	1
0	2
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	3
0	1
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	33
16	33
4	29
0	0
0	29
100	62
4	65
4	41
0	0
105	73
18	73
0	0
38	4
0	4
0	0
5	32
0	31
0	31
1	4
4	636
0	521
0	255
3	134
38	636
14	363
1	391
16	129
0	277
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
98	2680
3	2061
0	2955
0	2144
12	19
0	220
0	179
0	15
0	0
2	116
0	38
108	116
0	0
0	0
0	0
0	0
0	0
55	3
0	3
1554	108
7	106
1	12
8	2
0	11
1	37
3	33
0	4
0	5
0	22
0	5
0	11
0	0
0	0
62	4
1	4
1	0
54	52
3	59
0	57
0	2
9	0
0	0
1007	109
1	108
10	73
1382	0
932	3
6	0
0	0
1	9
0	9
296	62
7	1
6	29
0	66
0	1
0	0
287	19
0	2
0	8
0	10
0	7
59	24
0	24
1	11
2	11
0	157
3	152
0	138
2	81
32	94
0	163
116	44
2	44
6	391
0	392
4	360
0	0
0	0
0	0
0	384
0	0
0	0
0	0
30	47
2	47
3	1
0	0
0	0
0	0
0	1
0	0
47	68
2	53
1	24
274	761
4	761
16	35
0	10
0	22
5	21
0	21
43	0
45	0
71	23
0	7
0	7
0	14
4	0
380	89
0	89
0	666
0	0
0	0
0	0
0	0
0	0
0	42
1	71
0	74
0	72
0	27
0	66
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
56	302
0	284
1	284
0	8
0	18
73	0
0	0
0	0
0	0
1	1
0	2
0	2
99	40
0	31
0	0
0	9
17	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	408
5	408
2	0
0	0
1	15
0	1
0	0
64	17
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
721	1017
17	900
0	117
0	4
0	4
