"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034762","regulation of transmembrane transport","56/1262","445/16937",0.125842696629213,1.68890471696433,4.17862911600335,7.65326174001583e-05,0.01479211508028,0.0135813912812133,"Rnasel/Lrrc52/Pea15a/Opn3/Tgfb2/Grin1/Lcn2/Slc1a2/Thbs1/Capn3/Kcnip3/Jph2/Mmp9/Casq2/Ngf/Camk2d/Ank2/Slc6a9/Lrrc38/Reln/Nos1/Cftr/Snca/Cacna1c/Clec4b1/Cracr2a/Atp4a/Hamp2/Scn1b/Kcne3/Gsg1l/Tmem38a/Slc7a5/Agt/Scn4b/Rasgrf1/Slc26a6/Enpp1/Grb10/Kcnip1/Kcnmb1/Pirt/Kcnab3/Itgb3/Rgs9/Kcnj16/Kcnj2/Wnk2/F2r/Slc38a1/Rapgef3/Kcnj15/Tnf/Adrb2/Gsto1/G6pdx",56
"GO:0035150","regulation of tube size","28/1262","173/16937",0.161849710982659,2.17214624002638,4.39690770479606,7.91097223151328e-05,0.01479211508028,0.0135813912812133,"Adra1d/Htr1d/Nos1/Cftr/Mgll/Grip2/Hrh1/Alox5/Cacna1c/Klk1b1/Scnn1b/Comp/Agt/Gclc/Kcnmb1/Scpep1/Esr2/F2r/Adra1a/Npr3/Tnf/Vegfa/Adcyap1/Adrb2/Acta2/Adra2a/G6pdx/Cysltr1",28
"GO:0035296","regulation of tube diameter","28/1262","173/16937",0.161849710982659,2.17214624002638,4.39690770479606,7.91097223151328e-05,0.01479211508028,0.0135813912812133,"Adra1d/Htr1d/Nos1/Cftr/Mgll/Grip2/Hrh1/Alox5/Cacna1c/Klk1b1/Scnn1b/Comp/Agt/Gclc/Kcnmb1/Scpep1/Esr2/F2r/Adra1a/Npr3/Tnf/Vegfa/Adcyap1/Adrb2/Acta2/Adra2a/G6pdx/Cysltr1",28
"GO:0097746","blood vessel diameter maintenance","28/1262","173/16937",0.161849710982659,2.17214624002638,4.39690770479606,7.91097223151328e-05,0.01479211508028,0.0135813912812133,"Adra1d/Htr1d/Nos1/Cftr/Mgll/Grip2/Hrh1/Alox5/Cacna1c/Klk1b1/Scnn1b/Comp/Agt/Gclc/Kcnmb1/Scpep1/Esr2/F2r/Adra1a/Npr3/Tnf/Vegfa/Adcyap1/Adrb2/Acta2/Adra2a/G6pdx/Cysltr1",28
"GO:0010466","negative regulation of peptidase activity","12/1262","45/16937",0.266666666666667,3.57886951928156,4.91503273673205,7.93536870986607e-05,0.01479211508028,0.0135813912812133,"Serpinb5/Serpinb3a/Serpinb3d/Serpinb11/Serpinb10/Cst3/Serpine1/Timp3/Serpinb1a/Serpinb6b/Serpinb6a/Spock1",12
"GO:0099541","trans-synaptic signaling by lipid","6/1262","12/16937",0.5,6.71038034865293,5.61464944090451,0.000105595638518582,0.0183263051263457,0.016826310457226,"Cnr1/Mgll/Pak1/F2r/Abhd6/Nrxn1",6
"GO:0099542","trans-synaptic signaling by endocannabinoid","6/1262","12/16937",0.5,6.71038034865293,5.61464944090451,0.000105595638518582,0.0183263051263457,0.016826310457226,"Cnr1/Mgll/Pak1/F2r/Abhd6/Nrxn1",6
"GO:0032967","positive regulation of collagen biosynthetic process","10/1262","34/16937",0.294117647058824,3.94728255803114,4.88102084036786,0.000127398112505211,0.0207073481297146,0.0190124668324735,"Suco/Creb3l1/Wnt4/Serpine1/Ccn2/Ccl2/Tgfb3/F2r/Itga2/Mkx",10
"GO:0042445","hormone metabolic process","33/1262","224/16937",0.147321428571429,1.97716563844238,4.17730623869993,0.000127543769525363,0.0207073481297146,0.0190124668324735,"Akr1cl/Ugt1a1/Ren1/Hsd11b1/Crabp2/Ctsk/Dio1/Wnt4/Reln/Ppargc1a/Sult1e1/Cyp3a41a/Hpn/Chst8/Dgat2/Dkk3/Scnn1b/Cpe/Slc5a5/Agt/Enpp1/Ddo/Pcsk4/Hsp90b1/Rdh16/Selenom/Stc2/Hsd17b3/Ghr/Cpq/Tg/Clcn2/Pnlip",33
"GO:0006836","neurotransmitter transport","32/1262","218/16937",0.146788990825688,1.97001991887059,4.09011082271384,0.000171554374129803,0.026247521503763,0.0240991810684262,"Stxbp1/Slc1a2/Snap23/Pfn2/Bglap/Sv2a/Ngf/Unc13b/Slc6a9/Htr1d/Pclo/Nos1/Cadps2/Snca/Brsk1/Kcnc3/Mctp2/Pak1/Chrna3/Slc6a15/Slc22a4/Doc2b/Rph3al/Itgb3/Sphk1/Ptprn2/Slc18a3/Stxbp5l/Stx19/App/Nrxn1/Sncaip",32
"GO:0050806","positive regulation of synaptic transmission","29/1262","190/16937",0.152631578947368,2.04843189590458,4.1236314223479,0.000172097796468146,0.026247521503763,0.0240991810684262,"Kiss1/Grin1/Stxbp1/Bglap/Musk/Reln/Nos1/Prkar1b/Tac1/Ptn/Snca/Pirb/Tyrobp/Pak1/Clstn2/Enpp1/Ccl2/Ngfr/Sphk1/Slc18a3/Adra1a/Arc/Chrd/App/Pde9a/Tnf/Nrxn1/Adcyap1/Mir145a",29
"GO:0006935","chemotaxis","49/1262","387/16937",0.126614987080103,1.69926944229454,3.94850196862218,0.000181402205041253,0.0268528617050773,0.024654974617062,"Fcer1g/Slamf9/Tgfb2/Tnfaip6/Grem1/Thbs1/Mmp9/Vav3/Unc5c/Ccn1/Lpar1/Ptgr1/Csf3r/Padi2/Sema3d/Sema3a/Sema3c/Slit2/Pf4/Serpine1/Pdgfa/Ptn/Alox5/Pik3c2g/C5ar1/Cxcl17/Pdgfd/Dapk2/Ephb1/Cxcl16/Ccl2/Ccl7/Ccl8/Itgb3/Agr2/Ripor2/Tubb2b/Itga2/Wnt5a/Lgals3/Egr3/App/Igfals/Vegfa/Vav1/Fgf1/Lox/Il17b/Cysltr1",49
"GO:0042330","taxis","49/1262","388/16937",0.126288659793814,1.69488988187626,3.92895720210317,0.000193016347329778,0.027094798800082,0.0248771093378146,"Fcer1g/Slamf9/Tgfb2/Tnfaip6/Grem1/Thbs1/Mmp9/Vav3/Unc5c/Ccn1/Lpar1/Ptgr1/Csf3r/Padi2/Sema3d/Sema3a/Sema3c/Slit2/Pf4/Serpine1/Pdgfa/Ptn/Alox5/Pik3c2g/C5ar1/Cxcl17/Pdgfd/Dapk2/Ephb1/Cxcl16/Ccl2/Ccl7/Ccl8/Itgb3/Agr2/Ripor2/Tubb2b/Itga2/Wnt5a/Lgals3/Egr3/App/Igfals/Vegfa/Vav1/Fgf1/Lox/Il17b/Cysltr1",49
"GO:0001503","ossification","51/1262","409/16937",0.124694376528117,1.67349338768362,3.91215599158629,0.000197438264579647,0.027094798800082,0.0248771093378146,"Fhl2/Igfbp2/Suco/Ucma/Tnfaip6/Creb3l1/Grem1/Gdf5/Noct/Bglap3/Bglap/Ctsk/Col11a1/Sgms2/Ccn1/Hemgn/Wnt4/Tac1/Ptn/Alox5/Mgp/Lrp3/Chrdl2/Fgfr2/Csgalnact1/Comp/Nfix/Wwox/Tent5a/Ccn2/Enpp1/Egr2/Asgr2/Phospho1/Notum/Smoc1/Aspn/Wnt5a/Fgf9/Bmp1/Cnmd/Mtss1/Ccn4/Chrd/Kremen2/Col11a2/Tnf/Vegfa/Mkx/Lox/Adrb2",51
"GO:0006805","xenobiotic metabolic process","20/1262","112/16937",0.178571428571429,2.39656441023319,4.20749656866342,0.000210495750188435,0.027094798800082,0.0248771093378146,"Aox2/Ugt1a1/Fmo1/Fmo3/Grin1/Nos1/Cyp3a41a/Slco1a6/Cyp2b10/Cyp2b9/Cyp2a4/Rora/Gsta2/Nr1i2/Sult1c1/Cyp2c68/Cyp2c40/Cyp2c69/Cyp2c37/Gsto1",20
"GO:0098739","import across plasma membrane","28/1262","183/16937",0.153005464480874,2.05344972417795,4.06547624969903,0.000211933916415857,0.027094798800082,0.0248771093378146,"Atp1a4/Lcn2/Slc1a2/Thbs1/Slc6a9/Slc5a1/Cacna1c/Atp4a/Scnn1b/Slc7a5/Agt/Slc9a9/Slc22a4/Kcnj16/Kcnj2/Wnk2/Slc12a7/Kcnk5/Slc7a8/Slc15a1/Slc38a1/Slc12a8/Kcnj15/Tnf/Adrb2/Slc9a7/Slc6a14/Nalf2",28
"GO:0044344","cellular response to fibroblast growth factor stimulus","23/1262","138/16937",0.166666666666667,2.23679344955098,4.13929453204715,0.000213832645596264,0.027094798800082,0.0248771093378146,"Creb3l1/Thbs1/Tyro3/Mertk/Postn/Lrit3/Musk/Epha8/Wnt4/Epha5/Epha1/Fgfr2/Gclc/Ephb1/Ccn2/Enpp1/Ngfr/Wnt5a/Fgf9/Egr3/Chrd/Nrxn1/Fgf1",23
"GO:0010714","positive regulation of collagen metabolic process","10/1262","36/16937",0.277777777777778,3.72798908258496,4.64910122999057,0.000215337165110924,0.027094798800082,0.0248771093378146,"Suco/Creb3l1/Wnt4/Serpine1/Ccn2/Ccl2/Tgfb3/F2r/Itga2/Mkx",10
