gland,total_mean_tpm,secreted_mean_tpm,secreted_percent_of_total_expression,top30_secreted_mean_tpm,top30_percent_of_total_expression,top30_percent_of_secreted_expression
PAR,1000000.000000005,723823.4069028083,72.38234069028047,693073.957117677,69.30739571176736,95.75180223630704
SM,999999.9999999965,677018.5142289872,67.70185142289894,649773.1876299849,64.97731876299872,95.97568958213348
SL,1000000.0000000001,405838.7029796114,40.583870297961134,355744.44452334306,35.574444452334305,87.65660887232212
PANC,1000000.0000000001,694154.4760948945,69.41544760948943,666460.1482021292,66.64601482021291,96.01035088780738
LIV,999999.9999999973,378061.520587616,37.806152058761704,265925.8540492671,26.592585404926776,70.33930711486903
