gland,total_mean_tpm,secreted_mean_tpm,secreted_percent_of_total_expression,top30_secreted_mean_tpm,top30_percent_of_total_expression,top30_percent_of_secreted_expression
PAR,1000000.0000175,710339.5214366667,71.03395214242357,685456.0467496667,68.54560467376712,96.4969604061065
SM,999999.9999745,820433.3614884167,82.04333615093377,803429.5046631667,80.34295046836542,97.92745424266977
SL,1000000.0000179167,551242.6198021667,55.124261979229026,518635.9055884167,51.863590557912445,94.08487061006782
PANC,1000000.0000083334,674536.2022958334,67.45362022902123,646017.79625675,64.60177962513664,95.77214596606989
LIV,1000000.0000013333,408214.7471145833,40.82147471140391,291236.34205375,29.12363420533617,71.34390516568031
