"gene_id","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000069049","Eif2s3y",343.775684589602,5.9874661402656,0.257829981555355,23.2225364332972,2.69599280990639e-119,4.35888117505665e-115
"ENSMUSG00000056673","Kdm5d",145.164651683896,5.57203535306697,0.268758442731955,20.7325034943153,1.76372162897902e-95,1.42579256486664e-91
"ENSMUSG00000055435","Maf",1243.60013885804,3.25863322346804,0.1671602248037,19.4940705978036,1.23273776021166e-84,6.64363470236739e-81
"ENSMUSG00000063089","Klk1b8",53189.5317203989,7.36355617383883,0.381352745049847,19.3090420074892,4.50857837305402e-83,1.82236737838844e-79
"ENSMUSG00000063177","Klk1b27",42575.9318912252,7.2169427262796,0.405524184961973,17.7965778464146,7.51213495546489e-71,2.42912395919913e-67
"ENSMUSG00000069045","Ddx3y",255.496981271481,6.25458657108403,0.363927677124027,17.1863448817949,3.36062520523693e-66,9.05576471971178e-63
"ENSMUSG00000028017","Egf",410486.224969483,5.61547135912814,0.329212933029419,17.0572623239754,3.08686703255738e-65,7.12978088319824e-62
"ENSMUSG00000068457","Uty",123.453439196066,6.31608260390194,0.388376442545659,16.2627850507678,1.81305817584911e-59,3.66419057339106e-56
"ENSMUSG00000066515","Klk1b3",68911.5948501355,6.53779037318352,0.402952323437989,16.2247243480397,3.37228111501371e-59,6.0581156741713e-56
"ENSMUSG00000047295","Smgc",55736.924760431,-7.31593653941787,0.4601744671989,-15.8981800619019,6.52324278405838e-57,9.58798084842326e-54
"ENSMUSG00000059042","Klk1b9",215836.494511416,6.19146227015592,0.389412781561997,15.8994839494507,6.38888618732057e-57,9.58798084842326e-54
"ENSMUSG00000038968","Klk1b16",141603.246898893,6.28385817406333,0.396468038090577,15.8495958572775,1.41487834817291e-56,1.90631276110497e-53
"ENSMUSG00000063713","Klk1b24",10139.809012462,6.12106510867097,0.390577825330668,15.6718193192069,2.35733865771581e-55,2.93180395522686e-52
"ENSMUSG00000063133","Klk1b1",24036.8957702824,6.15033612583314,0.394760637744874,15.5799123260308,9.96913835739575e-55,1.15129306401696e-51
"ENSMUSG00000027859","Ngf",63459.3269642187,6.03000942239445,0.387575737975647,15.5582737296454,1.39819342025699e-54,1.50706608124766e-51
"ENSMUSG00000053626","Tll1",152.833801276968,-5.66005874825198,0.364832643273566,-15.5141236745305,2.78409732589098e-54,2.81333034781284e-51
"ENSMUSG00000029272","Sult1e1",402.129501364982,7.14625177005365,0.474252247835916,15.0684615680011,2.61122843196044e-51,2.48343184046685e-48
"ENSMUSG00000022602","Arc",562.539141838077,4.45271879376609,0.296669981352888,15.0089967763526,6.41100194272621e-51,5.75850441166652e-48
"ENSMUSG00000034591","Slc41a2",228.842133386756,2.51469164883367,0.171279396706639,14.6818105223755,8.43088868618225e-49,7.17424254095761e-46
"ENSMUSG00000042254","Cilp",466.716467835054,4.42155336971257,0.302014171120381,14.6402182166153,1.55568134942567e-48,1.25761280287571e-45
"ENSMUSG00000071537","Klrg2",157.556596646177,4.17638189061919,0.290260505218868,14.3883918601672,6.12024890884831e-47,4.71200877896473e-44
"ENSMUSG00000023011","Faim2",143.267469882062,4.20230898464623,0.293617519338745,14.3121874815584,1.83644664093433e-46,1.3496213313921e-43
"ENSMUSG00000061666","Gdpd1",1107.96228064898,2.62561199725399,0.185395960784049,14.1621855522102,1.5703325605069e-45,1.10387551470763e-42
"ENSMUSG00000028337","Coro2a",945.221952844415,2.92916118333335,0.207058063257773,14.1465690214959,1.96093664333285e-45,1.32101765205856e-42
"ENSMUSG00000060161","Klk1b7-ps",174.730160695393,4.99380090376072,0.361897695835683,13.7989298114462,2.58664082561201e-43,1.6728323547398e-40
"ENSMUSG00000066516","Klk1b21",56916.0243814182,5.72101386380441,0.421902056598925,13.5600520886842,6.90870120070366e-42,4.29614926972988e-39
"ENSMUSG00000030483","Cyp2b10",1108.0939339366,5.21331819247152,0.387871151865938,13.4408505695557,3.48408704847587e-41,2.08632294073177e-38
"ENSMUSG00000004637","Wwox",406.118186555855,2.13148756228196,0.158880608131429,13.4156558648035,4.89582553096327e-41,2.82698954230765e-38
"ENSMUSG00000057286","St6galnac2",779.138242839935,2.90453264268334,0.217663288421447,13.344154927309,1.28115166702407e-40,7.14264143187762e-38
"ENSMUSG00000030351","Tspan11",421.794841480209,3.55612185682176,0.267809189704667,13.2785654620118,3.08242813443701e-40,1.66122326925259e-37
"ENSMUSG00000066513","Klk1b4",94311.8345725746,5.65332379633443,0.429515540822476,13.1620937056408,1.45011028394585e-39,7.56302679704402e-37
"ENSMUSG00000108400","Klk1b14-ps",208.458309116659,7.04292292818487,0.547480169619797,12.8642521117722,7.15309156817633e-38,3.61409951482109e-35
"ENSMUSG00000045136","Tubb2b",128.667496343461,3.68639571533223,0.291613919313324,12.6413571890284,1.24879586885836e-36,6.11834291142482e-34
"ENSMUSG00000060177","Klk1b22",113502.156792338,5.42352041711592,0.429958001711991,12.6140702010911,1.766299438442e-36,8.39927332962653e-34
"ENSMUSG00000053819","Camk2d",1020.88240734688,3.05931587264507,0.243728549383246,12.5521440979592,3.86890114955752e-36,1.78721125102988e-33
"ENSMUSG00000023951","Vegfa",7998.58815981468,2.70140447528855,0.215994158903743,12.5068404117929,6.84948739273039e-36,3.07618089349069e-33
"ENSMUSG00000039405","Prss23",2961.88242788023,2.97556318523471,0.24081100450036,12.3564252863297,4.49714215358406e-35,1.9651295767337e-32
"ENSMUSG00000074623","Gm826",124.856614823433,4.77690635292688,0.394808232975179,12.0993078511288,1.06505369596114e-33,4.53152319902624e-31
"ENSMUSG00000040152","Thbs1",1085.29925580233,3.14023879582112,0.266032122525758,11.803983541563,3.72262204757431e-32,1.54326546833799e-29
"ENSMUSG00000056091","St3gal5",425.066791832744,1.83110120903122,0.155188600626303,11.7991991785566,3.94043508767807e-32,1.59272386243948e-29
"ENSMUSG00000036381","P2ry14",260.63454533159,3.21730112755226,0.274957067072821,11.7011036006584,1.25806605650918e-31,4.96107609796107e-29
"ENSMUSG00000041515","Irf8",501.99033547075,1.99758818949927,0.171070418087206,11.6769936721671,1.67101505451382e-31,6.43261223842367e-29
"ENSMUSG00000038059","Smim3",154.791042907934,3.68749474274901,0.316183903648414,11.6624998938889,1.98138158769645e-31,7.44999476973866e-29
"ENSMUSG00000036390","Gadd45a",1121.06878727408,3.23679370592796,0.277689657518958,11.6561550575825,2.13465994126e-31,7.8439049841572e-29
"ENSMUSG00000025433","Crisp3",325272.94414321,4.6726962274949,0.4044515663086,11.5531663534951,7.11499115087718e-31,2.55633726505294e-28
"ENSMUSG00000039239","Tgfb2",2887.32771227817,2.62842993149751,0.229944064024745,11.4307361777109,2.93608954695924e-30,1.03197164772254e-27
"ENSMUSG00000033502","Cdc14a",514.766588942793,1.97626340707425,0.172955376339316,11.4264352395561,3.08515848330549e-30,1.06129451825709e-27
"ENSMUSG00000047821","Trim16",662.95602813172,1.88396792653123,0.165328244993036,11.3953180027441,4.41216102135644e-30,1.48616290402689e-27
"ENSMUSG00000015519","2310057J18Rik",138231.583050391,2.69614898638143,0.236990898422618,11.376592959167,5.46950018637801e-30,1.80471181659918e-27
"ENSMUSG00000098306","Gm28040",401.87848701796,8.04269438109758,0.708362667392143,11.3539218698622,7.09091950042188e-30,2.29291972965642e-27
"ENSMUSG00000021003","Galc",1177.3466525009,2.54545969618047,0.227533325348138,11.1871950725714,4.71101401408561e-29,1.49348381528894e-26
"ENSMUSG00000056643","Chst13",99.3445205817615,3.75603414197577,0.337943167148013,11.1143958721636,1.06770841598362e-28,3.31975185954292e-26
"ENSMUSG00000026822","Lcn2",617.560905066929,4.27659287587309,0.388512979581939,11.0075933125193,3.51261689641352e-28,1.07154698077762e-25
"ENSMUSG00000060147","Serpinb6a",6743.53962026932,3.24282881210254,0.296213363713454,10.9476114495615,6.82229042753323e-28,2.0426442894881e-25
"ENSMUSG00000037852","Cpe",1579.32488058106,2.46560156769147,0.227389659516304,10.8430681189999,2.1513280018096e-27,6.32412202422866e-25
"ENSMUSG00000040297","Suco",852.728142183208,1.99961339876113,0.184536328203258,10.835879407759,2.32718535319193e-27,6.71891656971557e-25
"ENSMUSG00000044485","Klk1b11",130209.500023601,4.43324762098194,0.409781454215291,10.8185657876376,2.81142325136765e-27,7.97457739089688e-25
