"gene_id","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000068457","Uty",45.9517349493086,6.62128549748839,0.555937229427872,11.9101314806755,1.04811859748242e-32,1.30123923877442e-28
"ENSMUSG00000069045","Ddx3y",133.91673944631,5.04268573636433,0.454177025174877,11.1029080223129,1.21427504317533e-28,7.53761233051084e-25
"ENSMUSG00000069049","Eif2s3y",125.945889898975,4.82942385740048,0.498253993389605,9.6926947329535,3.23868659052747e-22,1.34027646737995e-18
"ENSMUSG00000056673","Kdm5d",52.8644050537046,4.12910669502554,0.477752665764745,8.64277060268419,5.48660095714208e-18,1.70290377207297e-14
"ENSMUSG00000029272","Sult1e1",13.7195866497985,3.49493317955304,0.679238383914573,5.14537055372388,2.66993256481192e-07,0.0006629442558428
"ENSMUSG00000035150","Eif2s3x",874.032001265338,-0.560407471923633,0.110465098855952,-5.07316317757894,3.91256711792227e-07,0.000809575346150083
"ENSMUSG00000076934","Iglv1",47.2658120854012,-4.01568664379632,0.882052921603207,-4.55265953486948,5.2971962826396e-06,0.00939495597842438
"ENSMUSG00000025163","Cd7",40.1109561046042,-5.6857500677338,1.26984900408533,-4.47750090714861,7.55219068026419e-06,0.0106883844832819
"ENSMUSG00000041333","Mup4",113.516751393527,2.09557605580093,0.468596934010001,4.47202255010102,7.74832544096151e-06,0.0106883844832819
"ENSMUSG00000053977","Cd8a",93.7780436938652,-5.07131761490372,1.1419250203214,-4.4410250451263,8.95313727545401e-06,0.0111153199274762
"ENSMUSG00000037369","Kdm6a",180.972571183376,-0.695049374267263,0.15729031763061,-4.41889484831202,9.9206897913299e-06,0.011196851250851
"ENSMUSG00000035042","Ccl5",97.7162086474252,-4.54256799419446,1.05881299828263,-4.29024577669747,1.78475488521609e-05,0.0184647765832981
"ENSMUSG00000032093","Cd3e",70.4793973363329,-4.71508257959463,1.11683237258929,-4.22183551920427,2.42320915068592e-05,0.0231416473890505
"ENSMUSG00000025332","Kdm5c",631.47547166467,-0.581909585913809,0.140039870713975,-4.15531364708506,3.24841616118132e-05,0.0252056791506663
"ENSMUSG00000027574","Nkain4",47.7264513892272,1.55941332427542,0.373299052359166,4.17738355996428,2.94881533556411e-05,0.0252056791506663
"ENSMUSG00000031934","Panx1",62.1221939734837,-4.26501253470072,1.02358837085389,-4.16672625065365,3.09005195863145e-05,0.0252056791506663
"ENSMUSG00000002033","Cd3g",89.2679744724225,-4.23622861453971,1.0339523297702,-4.09712178460028,4.18318853867963e-05,0.0305495798280633
"ENSMUSG00000024353","Mzb1",43.5212409924087,-4.31735317483888,1.05776406088125,-4.08158429134186,4.47297495260913e-05,0.0308511022425791
"ENSMUSG00000092517","Art2a",27.5045522520371,-6.48113546141047,1.59339527965497,-4.06750010130184,4.75201879200433e-05,0.0310506912119651
"ENSMUSG00000022575","Gsdmd",206.700742788205,-3.48752346179736,0.866427025398447,-4.02517853156016,5.69321061036426e-05,0.0342417986504831
"ENSMUSG00000068227","Il2rb",76.4209119494525,-3.78437227096838,0.941122021440444,-4.02112816909349,5.79200782650136e-05,0.0342417986504831
"ENSMUSG00000029449","Rhof",64.6622282206954,-2.71925554591143,0.681014675339627,-3.99294706028958,6.52571418816877e-05,0.0368257916573251
"ENSMUSG00000076583","Igkv8-24",16.9556143219634,-5.74103171465888,1.450762381865,-3.95725157091446,7.58170714804582e-05,0.0409247366273864
"ENSMUSG00000028037","Ifi44",61.6678265772414,-3.58027709840155,0.9237201122784,-3.87593281862254,0.000106216989856111,0.0440932559228851
"ENSMUSG00000050592","Fam78a",78.3936789071852,-3.54959430236821,0.915983100682966,-3.87517444341669,0.000106548342946964,0.0440932559228851
"ENSMUSG00000056413","Adap1",103.924681986493,-3.89225849539521,1.00104315341033,-3.88820250369343,0.000100989354145357,0.0440932559228851
"ENSMUSG00000067149","Jchain",609.35759614722,-3.85222347752068,0.993438919769728,-3.87766514967382,0.000105463734937482,0.0440932559228851
"ENSMUSG00000076564","Igkv12-46",45.3934101677022,-5.48166329679162,1.40991512599594,-3.88793849765918,0.000101099234250501,0.0440932559228851
"ENSMUSG00000076609","Igkc",1196.0450104796,-3.93430833595713,1.0111456681091,-3.89094119674617,9.9856132520976e-05,0.0440932559228851
"ENSMUSG00000095630","Igkv6-23",24.8797718463654,-4.6041172561688,1.18361219731747,-3.88988662553793,0.000100291066352009,0.0440932559228851
"ENSMUSG00000048251","Bcl11b",59.5205853208146,-4.79983185080865,1.24127703445506,-3.8668497986961,0.000110250283828478,0.0441534604429212
"ENSMUSG00000019823","Mical1",133.967256863956,-2.71365449482819,0.70491187866484,-3.84963649636331,0.00011829324833461,0.0441578476693034
"ENSMUSG00000030867","Plk1",40.0032489333186,-2.78104927164396,0.726517447023112,-3.8279180810306,0.000129231750459907,0.0441578476693034
"ENSMUSG00000036526","Card11",59.750236281067,-3.86308052060087,1.00798035492989,-3.83249584350239,0.000126849743217426,0.0441578476693034
"ENSMUSG00000047180","Neurl3",138.082234750365,-3.28150874513403,0.860447630170526,-3.81372279970565,0.000136889003340535,0.0441578476693034
"ENSMUSG00000051331","Cacna1c",22.9912620201613,-1.38880893113942,0.364474019091312,-3.81044699592561,0.000138715751840744,0.0441578476693034
"ENSMUSG00000063646","Jakmip1",37.8934667296378,-3.86781462082694,1.00790934147836,-3.83746281699682,0.000124312050004414,0.0441578476693034
"ENSMUSG00000076613","Ighg2b",100.627236689525,-4.23126446244337,1.09753688595206,-3.85523668188425,0.000115617717234638,0.0441578476693034
"ENSMUSG00000095335","Igkv3-5",30.8144661274993,-5.62331358777755,1.47215433063398,-3.81978537899344,0.000133567843240342,0.0441578476693034
"ENSMUSG00000000409","Lck",166.493026916894,-3.96147323244156,1.05470882839935,-3.75598755388592,0.000172659274251811,0.0497140212815763
"ENSMUSG00000021200","Asb2",49.84269713388,-3.5023037091004,0.929273002240796,-3.7688641558026,0.00016399210259646,0.0497140212815763
"ENSMUSG00000025574","Tk1",69.8222955609405,-1.85070982270036,0.49188157894912,-3.76251094146341,0.00016821594660565,0.0497140212815763
"ENSMUSG00000027692","Tnik",53.9881670398421,-3.29050837458064,0.877057015097337,-3.75176108045319,0.00017559676408151,0.0497140212815763
"ENSMUSG00000028003","Lrat",31.5751488406747,-4.66099706552613,1.24262983510638,-3.75091353341529,0.000176191456817508,0.0497140212815763
"ENSMUSG00000061451","Tmem151a",27.2469579735782,1.40631117139787,0.375678223728351,3.74339283613831,0.00018155205206083,0.0500881939185602
"ENSMUSG00000032777","Gtf3c1",300.45926810535,-0.461154306220879,0.124780850799357,-3.69571375148258,0.000219269911449637,0.0581536194167881
"ENSMUSG00000039842","Mcph1",34.4832007874466,-1.03366322448476,0.280175839080608,-3.68933748133566,0.000224838802416901,0.0581536194167881
"ENSMUSG00000094433","Igkv5-43",24.2097568414451,-5.53917539509809,1.49991667236564,-3.69298874874282,0.000221633832479404,0.0581536194167881
"ENSMUSG00000027219","Slc28a2",137.427943089537,-3.38924209116528,0.922994294229463,-3.67200763033394,0.000240652495324402,0.0583447520857108
"ENSMUSG00000038178","Slc43a2",326.470296314508,-3.33352756869218,0.905378727032995,-3.68191505848214,0.000231488543012769,0.0583447520857108
"ENSMUSG00000082292","Gm12250",28.2171542121046,-4.53982205869121,1.23765523916094,-3.66808293218147,0.000244375924966328,0.0583447520857108
"ENSMUSG00000095571","Ighv5-17",23.5937680281431,-4.98544039725017,1.35759392343939,-3.67226186798172,0.000240413140612289,0.0583447520857108
"ENSMUSG00000105906","Iglc1",19.1956513632937,-3.79062613585999,1.03571351827239,-3.65991760171566,0.000252296364204329,0.0590992332376744
"ENSMUSG00000026622","Nek2",39.2161475740544,-2.60727088571761,0.714121911107049,-3.65101650735762,0.000261204449053718,0.0600528376852205
"ENSMUSG00000000486","Septin1",125.60191727865,-3.07386399860182,0.84634931921244,-3.63190934147872,0.00028133196322535,0.0602195917834951
"ENSMUSG00000022014","Epsti1",135.583100716467,-3.23910846985557,0.888607887213941,-3.64514935829702,0.000267236553067987,0.0602195917834951
"ENSMUSG00000027550","Lrrcc1",36.0011835076818,-1.12680609681421,0.309962596789719,-3.6352969954586,0.000277660569289212,0.0602195917834951
"ENSMUSG00000094546","Ighv1-26",19.8141929804252,-5.53025924938593,1.52028081672986,-3.63765640434877,0.000275130120979351,0.0602195917834951
"ENSMUSG00000000682","Cd52",124.70072871359,-3.31428970587877,0.918844612228816,-3.60701870780892,0.00030973533678559,0.0640894034365517
"ENSMUSG00000039264","Gimap3",116.385160224267,-3.42257084280149,0.947900006000447,-3.61068764757437,0.000305386263566763,0.0640894034365517
"ENSMUSG00000010307","Tmem86a",118.268359327821,-2.54134337656742,0.707273259681808,-3.59315631091543,0.000326696472096958,0.0664907655915366
"ENSMUSG00000040084","Bub1b",41.2918957664402,-2.45791186537435,0.687133402560877,-3.57705193229431,0.00034749115710686,0.0684778208806614
"ENSMUSG00000064065","Ipcef1",32.3410832183589,-4.634354491719,1.29521170833144,-3.57806716995263,0.000346144505805509,0.0684778208806614
"ENSMUSG00000042985","Upk3b",209.908624279074,1.39938130156622,0.3917619951673,3.57201902897349,0.000354239664973868,0.0687169600101653
"ENSMUSG00000011256","Adam19",80.0104643876097,-2.3254965447846,0.653266106340882,-3.55979978482326,0.000371137642812649,0.0692140774680827
"ENSMUSG00000032094","Cd3d",49.4989897327661,-4.48054286692048,1.25924663408547,-3.55811383222357,0.00037352744183339,0.0692140774680827
"ENSMUSG00000073402","H2-T5",89.3850207095185,-3.87014344607756,1.08697057895003,-3.56048592392994,0.00037016915493112,0.0692140774680827
"ENSMUSG00000030651","Art2b",19.3508970716897,-5.96734225470105,1.68508128432063,-3.54127857820633,0.000398192916529005,0.0697999334935596
"ENSMUSG00000040026","Saa3",78.8109675201524,4.2163415908208,1.18908420654412,3.54587300682001,0.000391314738532032,0.0697999334935596
"ENSMUSG00000043110","Lrrn4",37.1274548022839,1.61428771817582,0.455932773435483,3.54062662793916,0.000399178032866913,0.0697999334935596
"ENSMUSG00000094777","H2ac24",243.392204860509,-2.95756603969513,0.832667272358506,-3.55191820055315,0.000382433730121199,0.0697999334935596
"ENSMUSG00000006398","Cdc20",71.3535735711629,-2.63744874545947,0.74643407174804,-3.53339811951905,0.00041025417492146,0.0707403553006935
"ENSMUSG00000071379","Hpcal1",298.817097499089,0.543813947530603,0.15435319865525,3.52317899640821,0.000426403276981959,0.0725177627908358
"ENSMUSG00000025888","Casp1",89.1974282910394,-3.43717639859011,0.97772312373801,-3.51549054649456,0.000438942386783457,0.0735233218097885
"ENSMUSG00000096336","Igkv1-135",35.3787243770825,-4.91865234662724,1.40038729398831,-3.51235145287479,0.00044416022035716,0.0735233218097885
"ENSMUSG00000025498","Irf7",239.900903497036,-3.29248290272003,0.939316730735655,-3.50518924552894,0.000456282822348783,0.0745362005192124
"ENSMUSG00000001039","B9d1",43.7226280236577,0.947105201689717,0.272221042603828,3.47917704168105,0.000502956192945908,0.0745764565748956
"ENSMUSG00000004612","Nkg7",26.9875821347044,-3.570676162908,1.02673394283801,-3.47770343798925,0.00050572911753447,0.0745764565748956
"ENSMUSG00000018168","Ikzf3",74.020783124702,-3.68895642828332,1.06295597791786,-3.4704696195503,0.000519549113012862,0.0745764565748956
"ENSMUSG00000027514","Zbp1",90.3905387031531,-3.62391111675545,1.04324422600339,-3.47369391215175,0.00051334627830449,0.0745764565748956
"ENSMUSG00000031004","Mki67",165.476538359181,-2.47822782937106,0.70930973433379,-3.49385847876275,0.000476093324446921,0.0745764565748956
"ENSMUSG00000032053","Pou2af1",72.44691030041,-3.79090539253528,1.09282830052034,-3.46889386990643,0.000522605857592905,0.0745764565748956
"ENSMUSG00000040264","Gbp2b",92.3460467441424,-3.57730318764609,1.02355734695248,-3.49497094451727,0.000474113364990174,0.0745764565748956
"ENSMUSG00000067547","Gm7666",48.4604981730029,3.02080988470559,0.868613436154041,3.47773791996682,0.000505664069228365,0.0745764565748956
"ENSMUSG00000078853","Igtp",159.81216204715,-2.97077530923138,0.851681780253351,-3.4881282870084,0.000486414635861592,0.0745764565748956
"ENSMUSG00000094930","Igkv6-25",12.1815353025105,-5.30333488764328,1.51749123015977,-3.49480430742582,0.000474409454712068,0.0745764565748956
"ENSMUSG00000116461","Gm44502",22.1712467161108,-2.45378026868997,0.707028204564903,-3.47055499744879,0.00051938396809883,0.0745764565748956
"ENSMUSG00000005947","Itgae",41.218861984988,-4.39825053991712,1.27213537391714,-3.45737618031491,0.000545462840473046,0.0757884386201457
"ENSMUSG00000060177","Klk1b22",953.87138442955,2.42307704227692,0.700557857614104,3.45878219185095,0.000542623516464785,0.0757884386201457
"ENSMUSG00000079105","C7",41.7590845228016,1.63080022397105,0.471952698576342,3.45543150593354,0.000549412764866139,0.0757884386201457
"ENSMUSG00000021356","Irf4",37.9696979859631,-2.8840703492088,0.837889133303995,-3.44206677778029,0.000577287721875673,0.0787585391987526
"ENSMUSG00000078920","Ifi47",112.814205341714,-2.91744176443698,0.850100825198778,-3.43187734673096,0.000599418586754652,0.0808889321147718
"ENSMUSG00000026117","Zap70",49.7363940678094,-3.7725897273447,1.100544199077,-3.42793113671281,0.000608199715747982,0.0811668566671411
"ENSMUSG00000032596","Uba7",166.912275633344,-2.23105900711052,0.6523348209976,-3.42011331496702,0.000625950560398404,0.0811668566671411
"ENSMUSG00000060188","Cxcl17",35.452584889437,1.69539234995294,0.495459942906166,3.42185553893309,0.000621953494790858,0.0811668566671411
"ENSMUSG00000078794","Dact3",19.9321506539769,-1.29491543656073,0.378698381421763,-3.41938466095148,0.00062762933870685,0.0811668566671411
"ENSMUSG00000038742","Angptl6",25.4787766102305,0.999047409798545,0.292804443224794,3.4119953877597,0.000644892043854788,0.0825395332418268
"ENSMUSG00000001228","Uhrf1",67.3875512558244,-2.19998590115477,0.646272652300784,-3.40411418202927,0.000663789996548942,0.0825789905006583
"ENSMUSG00000014773","Dll1",42.0816893987047,-2.52828694792087,0.745281650795013,-3.39239124594558,0.000692854303118107,0.0825789905006583
"ENSMUSG00000023940","Sgo1",12.9452029121338,-2.47817106682316,0.730841971012591,-3.39084393769781,0.000696777656867869,0.0825789905006583
"ENSMUSG00000024526","Cidea",31.8390747425571,-1.94964321439461,0.575662199072849,-3.3867834600477,0.000707171801176316,0.0825789905006583
"ENSMUSG00000027306","Nusap1",34.9713051001198,-2.30936533525753,0.678372381261626,-3.40427381634053,0.000663402161083985,0.0825789905006583
"ENSMUSG00000029204","Rhoh",48.6491422963239,-3.5905558932789,1.05897525540545,-3.39059470459882,0.000697411539487782,0.0825789905006583
"ENSMUSG00000030124","Lag3",13.8805049554439,-3.36384978836723,0.993507436170035,-3.38583252213476,0.000709626776993623,0.0825789905006583
"ENSMUSG00000031662","Snx20",53.2065238481878,-3.42356835925968,1.00833704871963,-3.39526189542164,0.000685629814555444,0.0825789905006583
"ENSMUSG00000032420","Nt5e",44.8475316380497,-2.55950011615451,0.756124271976371,-3.38502573057792,0.000711715826304506,0.0825789905006583
"ENSMUSG00000078502","Zfp268",23.6978108071865,-3.24852905709133,0.958072951571641,-3.39069071072551,0.000697167300561083,0.0825789905006583
"ENSMUSG00000031740","Mmp2",225.106594350013,-0.385009628909628,0.114286073829819,-3.36882365460326,0.000754897099301688,0.0859820870443161
"ENSMUSG00000041515","Irf8",270.925533540126,-2.79144459289041,0.828108530358225,-3.37086805721332,0.000749317366958295,0.0859820870443161
"ENSMUSG00000034832","Tet3",424.050110996013,-0.567933696094287,0.16889101209991,-3.36272303086393,0.000771777544512569,0.0871056201374868
"ENSMUSG00000070808","Bicra",88.0959669677641,-0.857944581982346,0.255600714740311,-3.35658131024404,0.000789125135960569,0.0871469356404453
"ENSMUSG00000071356","Reg3b",14446.9523833625,1.46366215271218,0.436242637390421,3.35515611556846,0.000793202072281137,0.0871469356404453
"ENSMUSG00000098814","Igkv19-93",38.1308367641193,-4.04369503689409,1.20401897701999,-3.35849775964697,0.000783673564879917,0.0871469356404453
"ENSMUSG00000026683","Nuf2",21.0802867108471,-2.72824187019888,0.814134231933681,-3.35109587975306,0.000804924278835162,0.0876590782608643
"ENSMUSG00000079071","Slc28a2b",29.2220455876152,-5.18264412296319,1.54993061974994,-3.34379104259476,0.000826419583135933,0.0892173836924575
"ENSMUSG00000011008","Mcoln2",20.594307144579,-3.16926046666866,0.950005099111752,-3.3360457429459,0.000849791800776286,0.0909497000572206
"ENSMUSG00000024910","Ctsw",34.8681037283507,-3.41624031488189,1.02616276559925,-3.32914078488018,0.000871143573881096,0.0924380125618274
"ENSMUSG00000028337","Coro2a",204.450980190532,-3.33856743946371,1.00716747884955,-3.31480861879816,0.000917058866934312,0.0964854731609278
"ENSMUSG00000034438","Gbp8",24.5626364965303,-3.5298590940532,1.06586995191647,-3.3117164882136,0.000927254646738169,0.0967383734391123
"ENSMUSG00000020914","Top2a",148.391537029776,-2.17986281235594,0.659388262127164,-3.30588658846274,0.000946764000081303,0.0979506255084115
"ENSMUSG00000030643","Rab30",60.9767187111841,-2.72735299233873,0.82839920862261,-3.29231723539854,0.000993654581885676,0.101952244910005
"ENSMUSG00000022504","Ciita",88.3544989503932,-2.9191572521016,0.892374869583947,-3.27122306062093,0.00107083411653176,0.102264658128783
"ENSMUSG00000022657","Cd96",22.0010180170503,-4.81457624946856,1.46786171634191,-3.27999306465127,0.00103809638498947,0.102264658128783
"ENSMUSG00000026208","Des",213.615155278799,-2.23983006522982,0.681446491699826,-3.28687592131072,0.00101305459632636,0.102264658128783
"ENSMUSG00000031710","Ucp1",51.8649571312622,-2.39092118626018,0.730116553028041,-3.27471165575443,0.00105769872406504,0.102264658128783
"ENSMUSG00000034422","Parp14",195.001516795409,-2.24640758190176,0.686646914488015,-3.2715614597595,0.0010695533853946,0.102264658128783
"ENSMUSG00000051998","Lax1",34.5544601357643,-3.56273351106529,1.08860004280385,-3.27276627868667,0.00106500503049223,0.102264658128783
"ENSMUSG00000068154","Insm1",15.4186126122806,-2.11650055876954,0.645536956563019,-3.27866675525171,0.00104298721736849,0.102264658128783
"ENSMUSG00000076552","Igkv4-61",22.2204910355246,-5.6330017603732,1.71566228891167,-3.28328121261353,0.00102606255740487,0.102264658128783
"ENSMUSG00000096727","Psmb9",161.735503328302,-2.56110981887613,0.779461647187404,-3.28574193241912,0.0010171415206151,0.102264658128783
"ENSMUSG00000026358","Rgs1",13.7506972271559,-4.25149834807162,1.30233045540893,-3.26453115675366,0.00109645403221125,0.103124824317444
"ENSMUSG00000027009","Itga4",91.0943451372838,-2.8000588100156,0.857248070566734,-3.26633433909563,0.00108949533140253,0.103124824317444
"ENSMUSG00000019982","Myb",45.2222337711569,-2.80956444968326,0.862902229227439,-3.25594760857053,0.001130146032854,0.103993077034574
"ENSMUSG00000023011","Faim2",13.2635558338905,1.4141724514258,0.434240732729865,3.25665545591629,0.00112733180628458,0.103993077034574
"ENSMUSG00000029530","Ccr9",30.480146075036,-3.78607842863482,1.1628792003597,-3.25577964371855,0.0011308147724259,0.103993077034574
"ENSMUSG00000024338","Psmb8",328.145170443325,-2.6051461438245,0.802952202019421,-3.24445980379974,0.0011767362444037,0.106064871853809
"ENSMUSG00000037321","Tap1",257.890797834811,-2.33021253801212,0.717477560681174,-3.24778455203506,0.0011630730227165,0.106064871853809
"ENSMUSG00000062545","Tlr12",17.6390004585574,-4.54906924413906,1.40233754964547,-3.24391887337618,0.00117897320304677,0.106064871853809
