"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",2.36287798694031,-0.123925103968925,1.29923936111656,-0.0953828121882213,0.924010767715936,0.968011052081607
"Sox17",130.815264526019,0.11665544651185,0.243041085913617,0.47998241150598,0.631239899648741,0.813983353663314
"Gm22307",1.10206951688948,-0.119016724725131,1.63095316928109,-0.0729737229534264,0.941827027792317,NA
"Mrpl15",2415.51844579508,0.243072688830957,0.112566930625572,2.15936143483812,0.0308221373718608,0.133320414688258
"Lypla1",5628.42003405245,0.267779480718812,0.138062171560014,1.93955721319661,0.0524335250280424,0.190308366609958
"Gm57794",13.9740296394968,-0.567314785607086,0.641078959948068,-0.884937458644787,0.376190363526648,0.627234773306166
"Tcea1",1421.4930200953,0.205282072240332,0.137542393874639,1.49250035903428,0.135568023195878,0.34778360400844
"Rgs20",6.06155381825405,-0.802605743271946,0.944997570644886,-0.849320430235849,0.395703015605284,0.644086550708035
"Atp6v1h",1728.93088650775,0.685263678676712,0.126201921467429,5.42989893266856,5.63859750734992e-08,2.2701897643516e-06
"4732440D04Rik",37.4967534639661,-0.0321893580357536,0.372987737955123,-0.0863013840943655,0.931226838234769,0.969955953546138
"Rb1cc1",1078.76794924917,-0.0518360128177016,0.117144298781393,-0.442497102777785,0.658129526357865,0.828879460944998
"Pcmtd1",3897.93098540985,-0.0926142932539512,0.116820663996817,-0.792790334220964,0.427899988931725,0.670660389008292
"Gm26901",4.30808971888036,-0.827717301465808,0.777849736544474,-1.064109509303,0.287279093538863,0.542385657013817
"Sntg1",18.5839993210395,-3.53261045840442,0.7831437249997,-4.5108073341273,6.45813586903228e-06,0.000150301298688551
"Rrs1",871.056639401216,-0.216126096722608,0.193964583579308,-1.11425546217946,0.265169607984446,0.517433210508708
"Adhfe1",3673.80015783136,0.788136303669457,0.130006551794597,6.0622814218984,1.34204124489582e-09,7.01685345687447e-08
"2610203C22Rik",17.7657960186244,0.681852564202143,0.375789280310162,1.81445453590206,0.0696077761445489,0.22793321893318
"Vxn",3.19335804470844,-0.953386123996508,0.967206022680993,-0.98571152540368,0.324274692143509,0.57940260032406
"Mybl1",12.133821397926,-0.276118456691414,0.435482248764831,-0.634052151320922,0.526046787990581,0.743580246056754
"Vcpip1",1202.68450542696,0.024169388831831,0.103731375885132,0.232999790329544,0.815761568581084,0.916434801009866
"1700034P13Rik",36.2397390376777,-0.148991242372797,0.272925897921764,-0.545903644569144,0.585132172982948,0.784837109165489
"Gm39590",5.97932008967338,1.14007799447832,0.860576269794831,1.32478437355718,0.185242679134283,0.421556318697671
"Sgk3",415.770887807304,-0.00966043551874512,0.155686579245252,-0.0620505348988824,0.950522588473004,0.978201740639496
"Gm6195",4.45229606815024,-0.928526722978447,0.894212115509928,-1.03837412496805,0.299095911121747,0.555247701152473
"Mcmdc2",12.3082753069336,-2.26641431713682,0.651331930071377,-3.47966100309016,0.000502048604667077,0.00600719855820865
"Snhg6",241.756360820231,0.220619284111241,0.268600453002314,0.821366016494915,0.411437814656197,0.658106032335997
"Snord87",2.83004378145523,-4.28484533156784,1.14876853772785,-3.72994662618705,0.000191520336676722,0.00275847102274608
"Tcf24",359.121377864876,0.09626467088854,0.297370401959392,0.323719745658095,0.746150220303489,0.8799611175548
"Ppp1r42",26.726524647151,-0.620228773514545,0.443452327003154,-1.3986368674758,0.161921904843577,0.388030172763126
"Cops5",2488.3710092251,0.494586016658849,0.172216029693291,2.87189303771365,0.00408021044938737,0.0311688973593459
"Cspp1",720.89338424521,-0.500806066016974,0.189663762345365,-2.6404942084036,0.00827852075978425,0.0525970885056345
"Arfgef1",2156.45097330405,0.055648380047408,0.106172323399708,0.524132638954393,0.600186288533096,0.79570716806113
"Prex2",140.809178664995,-0.486745735750685,0.267140826519283,-1.82205671103421,0.068446381163807,0.225332259374323
"A830018L16Rik",3.26002376041707,0.561448788862249,0.951319667007428,0.590178893944663,0.555070720613655,0.764835352504765
"Sulf1",53.138699750845,-0.530076588916742,0.512398821053228,-1.0345000166612,0.300902469008781,0.55694449609114
